"cat1","name","lost","desc","ticker","date","www"
"Exchange","ShapeShift",469,"ShapeShift","BTC",04/01/16,"https://www.tokens-economy.com/timeline/shapeshift-230000/"
"Exchange","ShapeShift",5800,"ShapeShift","ETH",04/01/16,"https://www.tokens-economy.com/timeline/shapeshift-230000/"
"Exchange","ShapeShift",1900,"ShapeShift","LTC",04/01/16,"https://www.tokens-economy.com/timeline/shapeshift-230000/"
"Exchange","ShapeShift",230000,"ShapeShift","$",04/01/16,"https://www.tokens-economy.com/timeline/shapeshift-230000/"
"Exchange","796Exchange",1000,"796Exchange","BTC",01/01/15,"https://www.tokens-economy.com/timeline/796exchange/"
"Exchange","Coinrail",1927,"Coinrail exchange 1,927 ETH, $40 million","ETH",06/01/18,"https://www.tokens-economy.com/timeline/coinrail-exchange-40m/"
"Exchange","Coinrail",40000000,"Coinrail exchange 1,927 ETH, $40 million","$",06/01/18,"https://www.tokens-economy.com/timeline/coinrail-exchange-40m/"
"Exchange","BTER",1650000,"BTER Exchange $1.65M NXT","NXT",08/01/14,"https://www.tokens-economy.com/timeline/bter-exchange-1-65m-nxt/"
"Exchange","Poloniex",97,"Poloniex 97 BTC","BTC",03/01/14,"https://www.tokens-economy.com/timeline/poloniex-64000/"
"Exchange","CoinSecure",438,"CoinSecure Exchange 438 BTC","BTC",04/01/18,"https://www.tokens-economy.com/timeline/coinsecure-exchange-438-btc/"
"Exchange","BitGrail",17000000,"BitGrail Exchange 17,000,000 NANO","NANO",02/01/18,"https://www.tokens-economy.com/timeline/bitgrail-exchange-17000000-nano/"
"Exchange","Coincheck",523000000,"Coincheck Exchange 523,000,000 NEM / $46 million","NEM",01/01/18,"https://www.tokens-economy.com/timeline/coincheck-exchange-523000000-nem/"
"Exchange","Coincheck",46000000,"Coincheck Exchange 523,000,000 NEM / $46 million","$",01/01/18,"https://www.tokens-economy.com/timeline/coincheck-exchange-523000000-nem/"
"Exchange","Bter",7170,"Bter Exchange 7,170 BTC","BTC",02/01/15,"https://www.tokens-economy.com/timeline/bter-exchange-7000-btc/"
"Exchange","Bitstamp",19000,"Bitstamp Exchange 19’000 BTC","BTC",01/01/15,"https://www.tokens-economy.com/timeline/bitstamp-exchange-19000-btc/"
