cat1,cat2,name,raised,desc,ticker,start,end,www
Artificial Intelligence,,xcoynz,,"Our mission is to firstly assist the innovators and early adopters who have helped bring it thus far and secondly enable the waiting majority to easily enter this exciting space for that inevitable critical mass shift with a simple to use, fast and cost-efficient blockchain- based payment and trading ecosystem. Those who have an intimate understanding of the cryptocurrency and Blockchain concepts can relate to examples in history of uncertain infancies that, despite early resistance went on to change our world. We have the vision and conviction to not only be involved with the biggest changers of history, but also to become an active catalyst for this change.",XCZ,null,null,https://www.xcoynz.com/?utm_source=ico.tokens-economy.com,UK,
Cryptocurrency,,thundercore,,"ThunderCore is its own blockchain with its own native cryptocurrency. Developed by industry-leading experts, it is EVM-compatible with a throughput of 1,200+ TPS, sub-second confirmation times, and low gas costs making it quick and easy for DApps to deploy and scale.",TT,null,null,https://www.thundercore.com/?utm_source=ico.tokens-economy.com,USA,
Virtual Reality,,weave,,"Weave, the universal cryptocurrency for virtual and augmented reality. WEARVR is uniquely and advantageously positioned as the only completely independent app store within the virtual and augmented reality ecosystem and community. We have long-standing relationships and a strong reputation with the users (mostly gamers) and developers of VR/AR apps as well as a growing number of VR/AR headset (HMD) manufacturers. These different stakeholder groups are interrelated and face friction and adoption obstacles that can be greatly improved by the integration of both blockchain and cryptocurrency technologies, for the benefit of themselves individually as well as the market as a whole. We have a clear vision and a defined plan to leverage our market position to introduce the de-facto cryptocurrency to power the entire ecosystem and utilise blockchain protocols to drive increased usage of VR/AR, create new (and needed) content, reduce copyright theft and super-charge new business models.",WVR,8th May 2019,30th May 2019,https://weave.wearvr.com/?utm_source=ico.tokens-economy.com&utm_medium=free&utm_campaign=listing,Malta,
Entertainment,,evedo,,"Evedo is a blockchain based platform that unifies all businesses and participants involved in organizing events. Our aim is to build a marketplace and a true ecosystem that will help the $850+ Billion event industry grow by connecting all parties without middlemen.",EVED,5th May 2019,7th May 2019,https://www.evedo.co/?utm_source=ico.tokens-economy.com,Bulgaria,
Cryptocurrency,,bitfinex,1000.0,"LEO has been created with the iFinex and crypto community at heart and in mind. LEO presents a sizeable opportunity for existing iFinex users and those who wish to use iFinex’s platforms and services. A special purpose subsidiary of iFinex intends to sell up to USDt 1 billion worth of LEO tokens.",LEO,5th May 2019,13th May 2019,https://www.bitfinex.com/?utm_source=ico.tokens-economy.com,null,
Casino & Gambling,,bitstars,0.25,"Bitstars is a gaming project built on advanced blockchain and cryptography technologies. Bitstars uses all the advantages of cryptography and decentralization, making cheating technically and verifiably impossible. Bitstars offers the latest forms of these technologies implement into an online gaming and gambling platform․",BST,2nd May 2019,3rd May 2019,https://www.bitstars.io/?utm_source=ico.tokens-economy.com,null,
Real estate,,socialremit,2.0,"Why SocialRemit Company? SocialRemit plans to take a leading role in all facets of remittances and real estate globally to make this a reality, starting with the disruption of the remittance market, and tokenize great real estate assets to negotiate in our Crowdfunding Touristic Real-Estate. The SocialRemit professional team presents the world with state-of-the-art technology and the opportunity to develop a more independent, transparent and potentially more stable monetary policy than ever before. With a new stable currency associated with the decentralized EURO (EURO TOKEN, SR-EUR) of the British company SocialRemit Blockchain Networks will be available for purchase by investors encryption before its release in the coin exchanges in a limited number with a 40% bonus. SREUR is directly linked to the European EURO at a rate of 1 SREUR equals 1 EURO. Each SREUR always has an excess guarantee, so you never have to worry about price fluctuations and its stability is guaranteed regardless of the behavior of the market.",SREUR,1st May 2019,31st May 2019,https://socialremit.com?utm_source=ico.tokens-economy.com,UK,
Platform,,trias,,"TRIAS is creating a revolutionary public chain architecture by allowing for Separation-of-Powers and Check-and-Balance to achieve a fairer decentralized world. Together these products will disrupt the blockchain industry offering an entirely new way to build and sustain decentralized applications.",TRY,30th Apr 2019,14th May 2019,https://www.trias.one/?utm_source=ico.tokens-economy.com,null,
Artificial Intelligence,,ocean protocol,,"Ocean Protocol is an ecosystem for sharing data and associated services. It provides a tokenized service layer that exposes data, storage, compute and algorithms for consumption with a set of deterministic proofs on availability and integrity that serve as verifiable service agreements. There is staking on services to signal quality, reputation and ward against Sybil Attacks. Ocean helps to unlock data, particularly for AI. It is designed for scale and uses blockchain technology that allows data to be shared and sold in a safe, secure and transparent manner.",OCN,null,null,https://oceanprotocol.com/?utm_source=ico.tokens-economy.com,Singapore,
Entertainment,,tunetrade,,"TuneTrade is a platform that empowers personal brands. Whether you’re a musician, a vlogger, or a streamer, we make it easy for any influencer to provide a unique connection to their core audience through the creation of a community coin. Our vision is to utilize smart contracts and distributed ledgers to provide fans with a new medium for engaging with their favorite brands.",TXT,29th Apr 2019,1st May 2019,https://tunetrade.io?utm_source=ico.tokens-economy.com,Saint Kitts and Nevis,
