cat1,cat2,name,raised,desc,ticker,start,end,www
,,azuma games,,"Azuma Games has developed a new online game Azuma - "Unification". We have combined incredible graphics, challenging game play, and a robust crypto reward system. The native token in the game is AZUM. Included In our platform is the scoring system SDK which will be available to developers that are interested in creating new games integrating AZUM in their game economy. AZUM can be traded inside the game for weapons, shields and many other unique game objects.Our tokens may also be purchased and traded on participating exchanges. The problem with the existing games on the blockchain, is just that, they are slow and thus players lose interest quickly. Our platform enables the player to enjoy the speed of AAA games with the added bonus of crypto rewards sent right to their wallet. The future of gaming is here, and Azuma Games is positioned to be a leader in this space.",AZUM,20th Sep 2019,21st Dec 2019,https://www.azumacoin.io,null,https://www.azumacoin.io/static/Azuma_WP_Sep17-2b944767e8ac9abe89bd3ae0fdf6cfa1.pdf
Banking,,dexage,6.06872,"DexAge is a Decentralized Exchange platform, also enabling centralized crypto to crypto exchange, crypto-fiat trading, P2P lending and chat on DAPP, using a user-centric approach where the whole platform would be driven by social web.",DXG,22nd Jun 2019,8th Jul 2019,https://dexage.io,Nigeria,https://dexage.io/ico/files/white-paper.pdf
Banking,,izichain,2.0,"IZIChain is a Public Hybrid Blockchain hyperlink platform providing blockchain custom solutions for financial markets with social and real-life applications. IZIChain allows users to interact with smart contracts, participate in smart contract completion via AI and Big Data mechanism, and operate blockchain-powered financial applications such as asset digitization, digital asset trading, and loan offer and transaction.Both individuals and entities may develop and provide standalone financial applications on IZIChain’s blockchain platform. IZIChain’s application: IZIChain completely change the way financial markets work by financial asset and real asset digitization on IZIChain’s blockchain platform.",IZI,20th Apr 2019,25th Apr 2019,https://www.izichain.network,Vietnam,https://www.izichain.network/White-Page-IZIChain-Final-EN.pdf
Banking,,kronn,,"Transfers usually take time and money, especially overseas transfers. It happens because of all the extra steps involved in banks like the confirmation process, Identity verification and many more. This results in many additional fees also. KRONN allows digital currency for the transfers of money across different individuals. The KRONN eXchange system allows for the real-time transfers of cryptocurrency between different individuals.",KREX,22nd Mar 2019,25th Mar 2019,https://kronn.net,Switzerland,https://kronn.net/file/Whitepaper%20v2.0.pdf
Banking,,linix,0.043059,"The LINIX platform is the world’s first DAG infused blockchain distributed ledger that provides expandable scalability, instant confirmation, and security against double spending and Sybil attacks. The MATRIX Chain remains open-sourced, permission- less, and distributed. Our breakthrough consensus algorithm, the Proof of Check and Balance (PoCB), breeds the self-sustaining and decentralized ecosystem through a counterbalance of power. The LINIX platform is not an improved version of a pre-existing blockchain nor DAG-based protocol. It offers a new paradigm that solves the current predicaments of the decentralized economy at stake.",LNX,20th Jun 2019,21st Jun 2019,https://linix.foundation,Hong Kong,https://docsend.com/view/iwvwb6x
Banking,,marshal lion group coin,0.076,"Marshal Lion’s issue objective is to create a special blockchain-based platform that will grant investors easy, safe and comprehensive access to the non-bank lending market, as well as to provide a tool to allow convenient use of this platform - a token. As part of the process, investors will deposit funds at the Marshal Lion team’s disposal, which will then be used to create a dedicated platform that will then host complete products. Its core functionality will be the option to invest the token in products associated with Marshal Lion’s non-bank loans granted to companies and individual clients at various interest rates and maturity dates. The entire operation will involve the investors purchasing dedicated utility tokens (a form of cryptocurrency) under the so-called smart contracts. A Marshal Lion token may, but does not have to be used on the platform where the company will introduce products to allow investors to participate in market profits. 1MLGC with 25% discount = 0.19$",Marshal Lion Group Coin (MLGC),30th Oct 2019,31st Oct 2019,https://mlgc.io,Estonia,https://mlgc.io/ML_whitepaper_EN.pdf
Banking,,menapay,8.5,"Reduced tokenomics without notifying hunters, reduced rewards in general against the bounty requirements, and closed off all official communications. Invest at your own risk!",MPAY,15th Mar 2019,15th May 2019,https://www.menapay.io,United Arab Emirates,
Banking,,monnos,,"Monnos is an all in one crypto APP where everyone can create, share and sync strategies of crypto assets, and everybody can earn with it. We offers exchange, wallet strategy and the core of our business, the funtionality of sync strategies.",Monnos Token / MNS,4th Dec 2019,31st Dec 2019,https://monnos.com/en/mns-token-initial-exchange-offering,Brazil,https://monnos.com/en/white-paper/
Banking,,perlin,52.95,"Perlin is a highly scalable, PoS smart contract platform that achieves throughput of 31,000+ TPS and consistently has 0 to 4 second time to finality, all of which is made possible by Wavelet, a DAG-based probabilistic consensus mechanism. Perlin utilises leaderless PoS protocol which does not use committees or delegation, thereby ensuring the security properties of bitcoin but speeds comparable to private chains. Perlin is pursuing several adoption strategies but is currently focused on the $US 11 Trillion international trade market with its distribution partners such as the International Chamber of Commerce, Enterprise Singapore, Dubai Chamber of Commerce and others.",PERL,24th Aug 2019,25th Aug 2019,https://www.perlin.net,Singapore,https://wavelet.perlin.net/whitepaper.pdf
Banking,,zerobank,3.87,"With the innovation of blockchain and smart contract technologies, along with the sharing economy model, ZeroBank will disrupt the outdated transfer and exchange models centralized around “too-big-to-fail” banking and MTO systems by bringing out a “money barter” model fit right in the current position of world money market.",ZB,31st Mar 2019,31st Mar 2019,https://zerobank.cash,Singapore,https://drive.google.com/file/d/1VyyV2WksKE5xbmmwp_QjeK4Vf6YKEVfZ/view
Banking,,zest,,"Zest proposes the first ‘decentralized syndicate’ which aims to provide access to the pre-ipo opportunities of Silicon Valley. Zest disrupts the traditional boundaries by using a cryptocurrency as a medium of exchange into a venture capital fund. By pooling capital together, the syndicate is able to access these funds as a single participant. When a portfolio company succeeds in performance, resulting in either a higher series of fundraising or an IPO, the parent fund will often shed profit to their limited partners. When this occurs, Zest is given back fiat currency which is traded back into cryptocurrency and sent to the exchange partner (LATOKEN). Zest will then initiate a mass purchase of market priced Zest tokens (Z) followed by a burn of all the tokens collected in this way. This means the total amount of tokens available is continuously diminishing and, theoretically, could actually disappear from the market entirely.",Z,10th Jun 2019,17th Dec 2019,https://zest.fund,Estonia,https://drive.google.com/file/d/1U1IkRHI5VCdc1SPonr1x9aOwC9wKUodt/view?usp=sharing
Banking,,zeux,2.6712,"Zeux is a blockchain based financial ecosystem company, building the world's first crypto mobile payment app that uses the world’s first integrated crypto & fiat investment platform. By partnering with a long list of financial institutions in both the fiat and crypto worlds, we are merging these different financial services combining mobile payment, banking, and investment services into one application. To participate the token sale: https://latoken.com/ico/ETH-ZUC",ZUC,7th Jun 2019,5th Jul 2019,https://www.zeux.tech,UK,https://www.zeux.tech/assets/PDF/ZEUX-White-paper-Eng.pdf
Big Data,,azultec,,"We want to offer you the easiest way to earn cryptocurrencies. In order to do that, we created the azultec Cube, a state-of-the-art mining computer. With the Cube, you can earn cryptocurrencies through mining, by being part of our decentralized cloud storage solution and by joining our cloud computing network. The best part: the Cube uses renewable energy and recuperates the generated heat – making the Cube environmental-friendly.",AZU,20th May 2019,20th Oct 2019,https://azultec.de,Germany,https://azultec.de/wp-content/uploads/EN_azultec-White-Paper.pdf
Big Data,,dayta,,"The Dayta vision is to solve multiple data protection, consent and privacy issues all at once. The team has designed a roadmap to build a secure, easy-to-use and robust personal information Dapp and exchange mechanism within an integrated, digital ecosystem. Our aim to ensure all participants from companies to users protect and profit from a unified personal information blockchain which will ensure efficient data audit and transparent smart contracts and agreements.",DAYTA,21st Jun 2019,28th Sep 2019,https://www.mydayta.io,UK,https://www.mydayta.io/uploads/white_paper/Whitepaper.pdf
Big Data,,divo,,"DIVO is a global platform for cooperation in fashion industry. DIVO creates a series of new products, powered by smart assets for and around lifestyle of a multi-million fashion community. DIVO Platform connects users to distributed networks and empowers them to utilize smart services designed specifically for models, influencers, new faces, talents, brands, creators and their followers. DIVO gives each user an opportunity to build cooperation in a decentralized ecosystem with a high level of trust due to blockchain technology and smart contracts. The DIVO Platform consists of three key elements that are seamlessly linked with each other, ensuring the system is complete and easy to scale: DIVO Mobile Application, DIVO Web Application, and a professional Network. DIVO Token gives fashion community access to smart services and DApp-s of DIVO Platform. DIVO will build fundamental value for the DIVO Token by integrating it into DIVO Mob. App. /DIVO Web. App. and leveraging network effect of growing community.",DIVO,11th Sep 2019,30th Sep 2019,https://www.divo.fashion,Seychelles,https://assets.website-files.com/5c76b34803ce795a0388d8da/5d5bac8840c6be296682c4e3_Whitepaper_Team_19.08.pdf
Big Data,,iprotocol network,1.011686,"iProtocol Network is a decentralized Blockchain based one stop web, mobile and desktop application system for the general users worldwide. It’s an online or offline (synchronizable) application suit that covers you, your documents, business, staffs, dealings and payments – as of, if there is no internet connection every data will be save to device database system and will be stored again after getting back to online within decentralized server. iProtocol Network creates an individual Operating System that is assembled with Blockchain program, server-side program and Open source program. The system collaborates a complete Web system, Applications and Blockchain with the scope of lacking and possibilities by the recommendation of the existing and next users due to individual private, business or industrial need.",IPN,16th May 2019,29th Jul 2019,https://iprotocol.network,Ireland,https://iprotocol.network/whitepaper.pdf
Big Data,,level01,,"Level01 is a peer to peer (P2P) derivatives exchange that allows investors to trade options contracts directly with one another, without requiring an intermediary or broker. Level01 combines Distributed Ledger (DLT) Technology for transparent and automated trade settlement on the blockchain, with Artificial Intelligence (AI) analytics that provides fair value pricing dynamically to counterparties in a trade, based on current & retrospective market data. The platform intends to effectively removes all forms of friction in the user experience present in conventional exchanges, such as fund deposits/withdrawals, multiple tier identity verifications, and wallet security concerns; allowing investors to fully focus on trading activities. The Level01 platform facilitates transparency & equality, and is designed to provide the most fair, efficient, even- level trading field for both retail & commercial investors.",LVX,1st Jul 2018,31st Dec 2018,https://level01.io,Hong Kong,https://level01.io/wp-content/uploads/2018/06/level01_whitepaper_final1-2.pdf
Big Data,,redfox labs,5.65,"RedFOX Labs is a blockchain based tech company that identifies and builds proven unicorn business models for the emerging markets of Southeast Asia. We create innovative and scalable solutions to unlock the true market potential on Komodo Platform, as we aim to create market leading companies in the e-commerce, e-media, e-travel and ride hailing sectors.",RFOX,17th Apr 2019,19th Apr 2019,https://redfoxlabs.io,Vietnam,https://redfoxlabs.io/wp-content/uploads/2019/03/REDFOXLABS_BLACKPAPERv1.2-1.pdf
Big Data,,spender,,"The SPENDER platform is a new connective platform that protects consumer data based on blockchain technology and shares the consumer’s rights to their spending data, as companies currently segregate consumers from the profit generated using consumer spending data. A large portion of consumer spending patterns now exists online, but the size of offline consumer economy is still growing rapidly. The problem of offline consumer economy is that the consumer’s spending data is exclusively used to generate profit for certain companies. This is a detrimental problem because consumer information is made unstable and because the consumers are segregated from the profit generated using their spending data.",SPD,14th Oct 2019,23rd Oct 2019,https://spdx.io,South Korea,https://spdx.io/whitepaper/whitepaper_eng.pdf
Big Data,,tokoin,1.0,"Helping small businesses to achieve their potential by leveraging data Face the real market. Tokoin provide a platform to build valuable partnership which will bring you into the engaging ecosystem consists of collectible business profiles profitable for business expansion.",TOKO,20th Aug 2019,23rd Aug 2019,https://www.tokoin.io,Indonesia,https://www.tokoin.io/whitepaper/Whitepaper.pdf?id=93463cf8ec8457c6c862
Business services,,allsesame,0.7,"AllSesame - Decentralized Social Food Network Powered by Blockchain. AllSesame Token is a Blockchain Ecosystem, architecturally designed to create the most Socialized Global Food Delivery Marketplace, developed collaboratively, using the blockchain technology. In today's world the technological development strives ahead very quickly. The trends of digitization and automation are already in full swing. The development of the Blockchain technology has led to a new trend- the trend of decentralization. The principles that are declared and strictly observed by the company: • Transparency to investors and the state. • Transparency of activities and transparency of decision-making. • Readiness to cooperate with all interested people and organizations; • Fairness- a fair payment to investors. • Fair conditions for partners and employees.",SST,21st May 2019,30th Aug 2019,https://www.allsesame.com,Estonia,https://allsesame.com/allsesame-whitepaper.pdf
Business services,,auditchain,2.5,"Auditchain is the world's first Decentralized Continuous Audit & Financial Reporting Protocol Ecosystem for digital asset assurance and disclosure. The DCARPE Assurance and Disclosure Framework is a network of CPAs and Chartered Accountants who externally validate functional compliance of internal system and control environments as well as real time financial statement reporting. The DCARPE Explorer provides real time financial statement and audit analytics data to institutions and individuals. The DCARPE Explorer will offer subscriptions to audit analytics and financial detail, as well as tools that allow users to build dynamically updating actionable research reports that ultimately have the potential to mechanize the foresight of oncoming risk and transform sell-side and buy-side research.",AUDT,9th Feb 2019,9th Aug 2019,https://auditchain.com,Switzerland,https://auditchain.com/Auditchain-Whitepaper.pdf
Business services,,bitway,,"By owning Bitway you will receive monthly payouts in Ethereum from the mining network. Bitway will be primarily mining Bitcoin and Ethereum but also Bitcoin Cash and Ethereum Classic.",WAY,2nd Jul 2019,31st Dec 2019,https://bitway.net,Norway,https://bitway.net/whitepaper.pdf
Business services,,cybr,2.0,"The CYBR Ecosystem is a holistic, cyber security solution for the blockchain which ensures secure smart transactions occur via a portal designed to provide real-time safeguards, countermeasures and threat intelligence to the CYBR community as well as other crypto entities and exchanges who rely on our cyber security solutions. CYBR ecosystem is powered by BlindSpot, a proprietary, powerful CYBR security engine which identifies and disrupts bad actor and associated illicit file activity that seeks to affect the confidentiality, integrity and availability of crypto smart contract transactions. CYBR commercializes and monetizes emerging threat intelligence by turning the data into actionable intelligence. CYBR users are rewarded with CYBR tokens for their direct threat intelligence contributions to the CYBR ecosystem.",CYBR,23rd Jun 2019,3rd Jul 2019,https://cybrtoken.io,USA,https://cybrtoken.io/wp-content/uploads/2018/09/cybr-whitepaper.pdf
