name,coinName,symbol,proofType,url,algorithm,summary,lifespan,founder,durl
SIB,SibCoin,SIB,PoW,/coins/sib/overview,X11GOST,,,,,
CEFS,CryptopiaFeeShares,CEFS,N/A,/coins/cefs/overview,N/A,,,,,
SIG,Signal,SIG,N/A,/coins/sig/overview,N/A,,,,,
SCRT,SecretCoin,SCRT,PoW/PoS,/coins/scrt/overview,X11,,,,,
HLDY,HOLIDAY,HLDY,N/A,/coins/hldy/overview,N/A,,,,,
SIN,SINOVATE,SIN,PoW,/coins/sin/overview,N/A,,,,,
BHC,BighanCoin,BHC,PoW,/coins/bhc/overview,Quark,,,,,
BBCC,BaseballCardCoin,BBCC,PoW/PoS,/coins/bbcc/overview,Scrypt,,,,,
BHD,Bitcoin HD,BHD,N/A,/coins/bhd/overview,N/A,,,,,
OLYMP,OlympCoin,OLYMP,PoW/PoS,/coins/olymp/overview,X11,,,,,
SIX,SIX Network,SIX,N/A,/coins/six/overview,N/A,,,,,
QTCON,Quiztok,QTCON,N/A,/coins/qtcon/overview,N/A,,,,,
BHP,Blockchain of Hash Power,BHP,N/A,/coins/bhp/overview,N/A,,,,,
BHT,BHEX Token,BHT,N/A,/coins/bht/overview,N/A,,,,,
BBDT,BBD Token,BBDT,N/A,/coins/bbdt/overview,N/A,,,,,
APCC,SpaceChain,APCC,N/A,/coins/apcc/overview,N/A,,,,,
VOLLAR,Vollar,VOLLAR,PoW,/coins/vollar/overview,Equihash+Scrypt,,,,,
BID,BidCoin,BID,N/A,/coins/bid/overview,N/A,,,,,
BIC,Bikercoins,BIC,PoW,/coins/bic/overview,CryptoNight,,,,,
RIDE,Ride My Car,RIDE,PoS,/coins/ride/overview,PoS,,,,,
BIH,BitHostCoin,BIH,PoS,/coins/bih/overview,N/A,,,,,
SCTK,SharesChain,SCTK,N/A,/coins/sctk/overview,N/A,,,,,
PIZZA,PizzaCoin,PIZZA,PoW,/coins/pizza/overview,X11,,,,,
TRAVEL,Travelvee,TRAVEL,N/A,/coins/travel/overview,N/A,,,,,
