cat1,cat2,name,raised,desc,ticker,start,end,www
estonia,,skyfchain,6.2,"SKYFT Token Goes Public onto the BitForex Exchange. BitForex Exchange has announced to start listing the SKYFT token on August 2018. BitForex is in TOP-7 (according to Coinmarketcap) and most well-known exchanges on the market with the daily turnover of several hundreds millions USD of crypto assets. The support of BitForex can help SKYFchain to outreach the large Chinese crypto community. This private blockchain system provides independent secure data-exchange and payment channels for a total support of robot - centric logistics. The SKYFChain Operating Platform will based on private blockhain. It will use ERC20 compatible protocol for SKYFT tokens and build payment channels for exchange transactions. SKYFchain is unique because it will be designed to exclude the human as an intermediary and it will have access to confirmed clients of the first industrial heavy duty cargo drone – the SKYF drone, which is already flying.",SKYFT,10th Mar 2018,15th Aug 2018,https://www.skyfchain.io,Estonia,https://fpivc.app.box.com/v/SKYFchainWhitePaper,,,,,,
estonia,,surrus,0.75,"SurruS project is an innovative solution in the insurance industry based on blockchain technology. Thanks to the use of this technology, we have been able to create a system that allows us to effectively search for and return the stolen car and ensure payment of compensation in case of failure. If the car is stolen, our system immediately receives a notification, and then activates the search algorithm that calculates the probable location of the car. All participants of the ecosystem of SurruS can see the alleged location of the missing car and join the search of a car together with our technicians. The user, who will be the first to detect the stolen car, will receive a reward, and the found car will be returned to its rightful owner. If for some reason we are unable to find the vehicle, its owner is guaranteed to receive 100% of its market value.",SURR,1st Jun 2018,1st Aug 2018,https://surrus.io,Estonia,https://surrus.io/Whitepaper_eng.pdf,,,,,,
france,,bitecoin network,,"A large food delivery service network combined with power of the blockchain - That is BiteCoin in a nutshell. The world's first crypto-backed decentralized food delivery network. On-demand food delivery regular customer complaints - delayed delivery to cold and/or wrong food. With BiteCoin, no need for customer support tickets anymore. Yes, that is right - instant and automatic refund if your food doesn't arrive in time by fully enforced smart contracts. Even with an estimated 25%-30% standard market rate commission, most most businesses are on a bleeding edge. With BiteCoin, a paradigm shift in terms of network and fleet management efficiency by introducing artificial intelligence (AI) and machine learning (ML) on-the-blockchain. Route optimization, Model-Predictive and Fault-Tolerant Controls are implemented.",BiteCoin,12th Jul 2018,30th Aug 2018,https://bitecoin.network,https://bitecoin.network/kbase/BiteCoin-Whitepaper-V2-1.pdf
france,,istrium,,"Istrium is a free, simple and intuitive blockchains generator. With Istrium, individuals and organisations can easily create blockchains allowing them: To dispose of their customised cryptocurrency and; To store data in a secure, decentralised and tamper-proof environment.",ISM,21st Jun 2018,19th Aug 2018,https://istrium.com,https://istrium.com/files/whitepaper
germany,,bit-learn,,Bit-learn is your one stop solution for all Cryptocurrency needs: 1. Education platform to guide Crypto-Beginners 2. Regulated Fiat vs Crypto Exchange 3. Classic Fiat Banking,BLX,15th Jul 2018,31st Aug 2018,https://bit-learn.com,Germany,https://drive.google.com/file/d/1_zLZho6GmBHmwaXN9oz_j_ZtNR4k-KjH/view
germany,,fluxorin,13.142268,"FLUXORIN, a decentralized system for the publication and consumption of music, which combines a cutting-edge crypto currency and provides with a very important mission to unlock the potential of human creativity by giving millions of artistes the opportunity to live off their art and billions of fans the opportunity to enjoy and be inspired by it.",TFT,30th Jul 2018,31st Aug 2018,https://fluxorin.io,Germany,https://www.fluxorin.io/wp-content/uploads/2018/05/FLUXORIN.pdf
germany,,letsbet,0.833485,"LetsBet represents a new type of software platforms: is a truly decentralized application (DAPP), running on the Ethereum blockchain. This means it can be downloaded and played from anywhere in the world without having a corporation behind it to run the service! You can even run the entire platform on your own machine, just by being connected to the Ethereum Blockchain. A centralized server is no longer needed. There is no need to pay any bookmaker or trust the casino management… the games on the LetsBet platform run autonomous on a software architecture which is entirely transparent, every interested party can view the code. Should our website www.letsbet.io be down - for example because some hackers or some law enforcement agencies blocking the domain - you can keep playing on it and your funds are safe from hackers or the authorities. Your identity, your data and our platform are protected. Since there is no LetsBet database which holds information on players, there is no way to track who is doing what and we store nothing besides the data of the bets and prices. After its launch LetsBet doesn’t depend on any human involvement at all to run. It will run as planned since code is law in our smart contract powered application. In essence, LetsBet is a blockchain based, decentralized P2P betting exchange. It is a automated match-making platform, where people could challenge each other, for example to bet on the results of games, to predict the correct scores or prices of stocks, currencies or any other asset you can imagine… As the entire booking process is run by smart contracts, there are little to no maintenance and operation costs. There is no need for service personal reviewing players accounts, asking for identity, KYC or any other personal details. There is no connection to your bank account or credit card. Our virtual robots, smart contracts written in the solidity programming language on the Ethereum blockchain, processes all required tasks.",XBET,7th Jul 2018,31st Aug 2018,https://www.letsbet.io,Germany,https://www.letsbet.io/assets/files/Letsbet.io-Whitepaper-v51.pdf
germany,,letsbetsto,0.833485,"LetsBet represents a new type of software platforms: is a truly decentralized application (DAPP), running on the Ethereum blockchain. This means it can be downloaded and played from anywhere in the world without having a corporation behind it to run the service! You can even run the entire platform on your own machine, just by being connected to the Ethereum Blockchain. A centralized server is no longer needed. There is no need to pay any bookmaker or trust the casino management… the games on the LetsBet platform run autonomous on a software architecture which is entirely transparent, every interested party can view the code. Should our website www.letsbet.io be down - for example because some hackers or some law enforcement agencies blocking the domain - you can keep playing on it and your funds are safe from hackers or the authorities. Your identity, your data and our platform are protected. Since there is no LetsBet database which holds information on players, there is no way to track who is doing what and we store nothing besides the data of the bets and prices. After its launch LetsBet doesn’t depend on any human involvement at all to run. It will run as planned since code is law in our smart contract powered application. In essence, LetsBet is a blockchain based, decentralized P2P betting exchange. It is a automated match-making platform, where people could challenge each other, for example to bet on the results of games, to predict the correct scores or prices of stocks, currencies or any other asset you can imagine… As the entire booking process is run by smart contracts, there are little to no maintenance and operation costs. There is no need for service personal reviewing players accounts, asking for identity, KYC or any other personal details. There is no connection to your bank account or credit card. Our virtual robots, smart contracts written in the solidity programming language on the Ethereum blockchain, processes all required tasks.",XBET,7th Jul 2018,31st Aug 2018,https://www.letsbet.io,Germany,https://www.letsbet.io/assets/files/Letsbet.io-Whitepaper-v51.pdf
germany,,lovr pre-ico,,"LOVR transforms the on- and offline adult entertainment industry. With the cryptocurrency LVR, we are enabling the market to use cashless payment in an anonymous, secure and fair way. With big partners in the adult industry around Europe we are kick-starting our cryptocurrency with millions of users. COMPREHENSIVE BOOKING PLATFORM: Customers and Merchants of the adult entertainment industry have a strong demand for staying anonym when comes to payment both offline and online. While the online market includes live streams, video content and eCommerce with assiciated high fees for payments, the offline market yields hidden gem that were not discovered yet by the market. LOVR offers a low-fee payment solution and online bookings of services. SECURE PAYMENTS: LVR transferring payments are fast, reliable and error resistent due to the power of blockchain. MORE PROFIT: Less transaction fees are taken, when clients pay with LVR. ANONYMITY: LVR will enable fast anonymous payments.",LVR,1st Jul 2018,30th Aug 2018,https://lovr.network,Germany,https://lovr.network/docs/whitepaper.pdf
germany,,molecule,,"The MOLECULE platform is a fully functioning car service aggregator with a revolutionary approach to delivering targeted advertising through system participants. The next step is the transition of the platform to a decentralized cloud service based on the blockbuster - Ethereum, using the smart-contract system.",MLC,15th Jul 2018,15th Aug 2018,https://molecule-ico.io,Germany,https://molecule-ico.io/assets/files/en/white-paper.pdf
