cat1,cat2,name,raised,desc,ticker,start,end,www
USA,,eventjoin,,"EventJoin is an ecosystem for professionals to connect before, during, and after an event. The current EventJoin platform enables a quality event experience for organizers, attendees, and speakers to establish greater professional connections, earning rewards for networking while building their network. We believe the future of professional events lies in utilizing blockchain to incentivize participation through sophisticated algorithms, smart contracts, reward systems, payments, and reviews. We envisage our technology being used to help professionals anywhere in the world to enjoy a seamless networking experience at an event. While this vision may seem ambitious, it’s something that the market is ready for, and our EventJoin team is ready to make it a reality. EventJoin plans to utilize blockchain technology as part of its “event ecosystem” to enable trust and transparency among all participants in the event. We believe that a high-quality attendee experience drives the greatest value for everyone involved.",SAB,11th May 2018,9th Aug 2018,http://eventjoin.io,USA,
USA,,foam,,"FOAM is an open protocol for proof of location on Ethereum. Our mission is to build a consensus driven map of the world, empowering a fully decentralized web3 economy with verifiable location data. FOAM incentivizes the infrastructure needed for privacy-preserving and fraud-proof location verification. The starting point for FOAM is static proof of location, where a community of Cartographers curate geographic Points of Interest on the FOAM map. Through global community-driven efforts, FOAM’s dynamic proof of location protocol will enable a permissionless and privacy-preserving network of radio beacons that is independent from external centralized sources and capable of providing secure location verification services.",FOAM,31st Jul 2018,10th Aug 2018,https://foam.space,USA,https://foam.space/publicAssets/FOAM_Whitepaper.pdf
USA,,global pay net,,"Global Pay Net is an international financial platform that is based on the Blockchain technology. The company has been developing a unified service that allows each of its users to invest their money at interest, take out a loan, exchange funds and cryptocurrencies, keep their savings at a profit, and pay for goods or services using their own GLPN wallet.",GLPN,24th May 2018,24th Aug 2018,https://globalpaynet.com,USA,https://globalpaynet.com/sites/all/themes/new/pdf/GPN-whitepaper.pdf
USA,,hereda hashgraph,20.0,"The Hedera hashgraph platform provides a new form of distributed consensus; a way for people who don't know or trust each other to securely collaborate and transact online without the need for a trusted intermediary. The platform is lightning fast, secure, and fair, and, unlike some blockchain-based platforms, doesn’t require compute-heavy proof-of-work. Hedera enables and empowers developers to build an entirely new class of distributed applications never before possible.",null,1st Aug 2018,14th Aug 2018,https://www.hederahashgraph.com,USA,https://s3.amazonaws.com/hedera-hashgraph/hh-whitepaper-v1.1-180518.pdf
USA,,hubezoo,,"Unleash the power of quantum blockchain. We offer the first internetwork of the future, combining social media, e-commerce and info (big data). With our organizational system, users are able to hyperseed information and enjoy more online interactivity. Quantum applications allow users to expand their online functions. Unagold is the official Hubezoo token. By using quantum applications, it expands transactions with an open source method combined with high security. Quantum blockchain methods with our token create scalability and sustainability.",UNG,30th Apr 2018,30th Aug 2018,http://www.hubezoo.com,USA,http://www.hubezoo.com/white-paper/
USA,,hubezoo,,"Unleash the power of quantum blockchain. We offer the first internetwork of the future, combining social media, e-commerce and info (big data). With our organizational system, users are able to hyperseed information and enjoy more online interactivity. Quantum applications allow users to expand their online functions. Unagold is the official Hubezoo token. By using quantum applications, it expands transactions with an open source method combined with high security. Quantum blockchain methods with our token create scalability and sustainability.",UNG,30th Apr 2018,30th Aug 2018,http://www.hubezoo.com,USA,https://www.hubezoo.com/white-paper/
USA,,lovar,,"Lovar is a community involved, blockchain-based protocol that aims to provide an innovative platform for investing in artificial intelligence. We operate by employing a machine-learning artificial intelligence system that trades on major exchanges to earn profit and reward Lovar investors. Currently, we offer four overarching investment solutions including term deposits, sell over time, internal exchange, and external exchange.",LVA,14th Jun 2018,23rd Aug 2018,https://lovar.io,USA,https://lovar.io/lovar_white_paper_v1.0.pdf
USA,,metatip,,"High cost of sending Bitcoin (>$10 per transaction) and the slow transfer speeds of cryptos that used to be fast. This was before both Bitcoin and Ethereum blockchains got bloated. Currently it takes several minutes (if you are lucky) or even up to hours in order to the whole transaction process to get finished. This is why we created the META token on Metaverse's blockchain. We have acheived one of the fastest transfer rates at the cheapest price to send compared to any cryptocurrency alternatives to date. Currently we are running at aprox 90 seconds transaction times for a fee of only 0.0001 ETP per transaction.",META,5th Dec 2017,1st Aug 2018,https://www.metatip.org,USA,https://www.metatip.org/whitepaperfinal.pdf
USA,,monvid,3.32019,"We at monvid are working on a better solution for the next generation. The cost-effective global video streaming and cost-effective watching TV without any restriction is some of our key-words in the team, and these are what we stand for. So let’s make the future great together.",MVID,1st Jun 2018,31st Aug 2018,https://monvid.io,USA,https://monvid.io/docs/white-paper.pdf
USA,,oid - opioid token,,"Every day, more than 115 Americans die after overdosing on opioids. The misuse of and addiction to opioids—including prescription pain relievers, heroin, and synthetic opioids such as fentanyl—is a serious national crisis that affects public health as well as social and economic welfare. The Centers for Disease Control and Prevention estimates that the total “economic burden” of prescription opioid misuse alone in the United States is $78.5 billion a year, including the costs of healthcare, lost productivity, addiction treatment, and criminal justice involvement. We knew someone had to get involved and help this widespread epidemic, so WE FOUNDED the OID COIN. 50% of our efforts go to our Founding partner SoberLifeUSA as well as the other recovery centers who have signed on to use our coin as payment since the conception of the coin. This coin will be used to treat patients and help build out needed infrastructure and support staff. Advanced Treatment is HERE ! This is a Reality and OUR MISSION is to help solve the number one Epidemic, the Opioid Crisis!",OID,8th Mar 2018,11th Aug 2018,http://oid.life,USA,
USA,,one game,,"One Game is a decentralized virtual world built on top of blockchain technology, the first of its kind. One Game has no predefined gameplays, game design, or objectives, and is an open gaming and creation platform owned by creators and players, allowing creators of varying skills to create their own reality in this world. One Game offers considerable design flexibility, ease of use, and tremendous creative freedom along with community based decentralized governance.",OGT,20th Jul 2018,20th Aug 2018,http://one.game,USA,http://one.game/whitepaper_en.pdf
USA,,paygine,1.642411,"Paygine is an open financial platform designed to operate within its own proprietary banking structure and designed to serve FinTech and crypto-business needs in areas of money remittance, cryptocurrency exchange, and payment for ""real"" goods and services under white label solution. Paygine's key competitive advantage over similar projects is that it can leverage off existing platform and technologies that is currently used by FinTech businesses, e-commerce, and beyond. The Paygine platform would offer the following services by utilizing Best2Pay existing technology: - Transferring cryptocurrency to/from a bank card; - Paying in shops and stores using a card in cryptocurrency; - Accepting cryptocurrency as a payment for goods and services at online stores; - Carrying out cross-border transfers of fiat currencies by means of cryptocurrency with minimal costs; - Maintaining wallets in both fiat currencies and cryptocurrencies with the ability to conveniently and quickly convert funds between them.",PGC,18th Jun 2018,17th Aug 2018,https://www.paygine.com,USA,https://paygine.com/assets/helpers/files/en.pdf
USA,,radioyo,,"RadioYo is a platform for people to livestream free online radio shows and broadcast prerecorded podcast episodes. Proceeds from our ICO go toward adding podcaster ownership information directly onto the blockchain while building out our current platform into a blockchain-based broadcasting and services platform for podcasters, online broadcasters, independent media, and online publishers. RadioYo has taken steps to make sure their ICO is fair to all. For example, we’ve created 34 different tiers for people, made sure that no one person can hold more than one percent of RAO, turned away early investors wanting a lion’s share of RAO and decided against holding a pre-sale. We feel in the long run our approach emphasizes the importance of building and nurturing a strong community of RAO contributors.",RAO,1st Mar 2018,2nd Aug 2018,https://rao.radioyo.fm,USA,http://rao.radioyo.fm/RadioYo%20ICO%20(RAO)%20White%20Paper.pdf
USA,,refugecoin,,"We believe in the blockchain technology. We also believe that with this technology we can provide the answer to this big problem. Keeping all this in mind we developed a special kind of cryptocurrency called "RefugeCoin" that would suit all the refugees' plans needs. Our cryptocurrency is based upon the Ethereum blockchain and allows the holders to nominate and fund their future plans.",RFG,1st Apr 2018,31st Aug 2018,https://refugecoin.com,USA,https://refugecoin.com/wp-content/uploads/2018/03/WhitePaper-RFG-EN.pdf
USA,,the digital reserve,,"With $2 Trillion dollars in unmet financing need and the growing power of elective economies, the Digital Reserve offers a inclusive Peer to Peer payment, lending system and responsive monetary policy. This economic system is designed to maximize its economic value through the active balancing of incentives. The Digital Reserve Network’s native currency is the Denarii. The Digital Reserve Network (DRN) uses a Cost-Based Proof of Stake system to secure the network. This system alleviates provides a strong incentive for honest network participation and a reserve to back loans. This functionality represents a robust solution that helps to alleviate financial accessibility and provide a methodology for evaluating network productivity . The DRN is an open-source financial services suite. Our goal is to launch the DRN and Denarii as a platform for novel financial products, financial literacy, and lending. The DRN is designed to create a sustainable model for financial inclusion while producing economic incentives for network stakeholders by turning traditional "store of value" into a working asset. The Digital Reserve currently has a partnership with a United Nation's sponsored credit union in Liberia and is establishing a relationship with a series of Non-profit organizations in Pittsburgh, PA to utilize the network for achieving their mission. To assist with the development of the platform, the Digital Reserve is selling 5% of the initial 6 Billion Denarii tokens of the Genesis to accredited investors using Tokens as a Debt Payable Asset. The network will be developed using the base directed acyclic graph (DAG) architecture from DagLabs Official's Spectre and Phantom Protocol. In addition, the Digital Reserve Network will also integrate post-quantum cryptographic signatures. Currently the option of Zk-Starks and Winternitz OTS+ are the primary options.",DRN,23rd Jul 2018,20th Aug 2018,https://www.thedigitalreserve.org,USA,http://thedigitalreserve.org/assets/files/Digital%20Reserve%20Whitepaper%20V3.pdf
USA,,tzerosto,134.0,"Our platform integrates cryptographically secure distributed ledgers with existing market processes to reduce settlement time and costs, increase transparency, efficiency and auditability.",TZRO,9th Jun 2018,9th Aug 2018,https://www.tzero.com,USA,https://ru.scribd.com/document/370361989/TZERO-White-Paper
