cat1,cat2,name,raised,desc,ticker,start,end,www,,,,,,,,
Banking,,inlock,,"INLOCK is a lending platform that enables cryptocurrency holders to manage short-term liquidity problems by taking a loan, using their existing cryptocurrencies as collateral. The credit transactions are established between the two parties directly. INLOCK merely acts as intermediary to record the terms of the agreement. These terms are established in a smart contract, making every credit contract between parties immutable and impossible to manipulate. Inlock (ILK) is an ethereum-based token that will be used when creating a lending contract.",ILK,15th Sep 2018,26th Nov 2018,http://inlock.io,Estonia,https://ico.inlock.io/wp-content/uploads/2018/06/Whitepaper_V1.06.pdf,,,,,,
Banking,,itob,,"Having featured all best qualities of eBay and PayPal with the usage of blockchain technologies, we offer a universal platform for the crypto industry, which will allow to search, sell and buy goods and services from all around the world.",ITEX,1st May 2018,29th Jun 2018,https://www.itob.io,,,,,,,,
Banking,,levelapp,,"LevelApp is designed to remove barriers on the way of cryptocurrency adoption. In the Theory of Diffusion of Innovations, the project is a driver of the transition from Early adopters to the Early majority stage. LevelApp will allow for the instant exchange of crypto assets to Apple Pay Cash and consequent payment with NFC at any sales point equipped with the payment terminal.",LVL,30th Sep 2018,30th Oct 2018,https://levelapp.cx,Estonia,https://levelapp.cx/static/LevelApp_WhitePaper.pdf,,,,,,
Banking,,marshal lion group coin,0.076,"Marshal Lion’s issue objective is to create a special blockchain-based platform that will grant investors easy, safe and comprehensive access to the non-bank lending market, as well as to provide a tool to allow convenient use of this platform - a token. As part of the process, investors will deposit funds at the Marshal Lion team’s disposal, which will then be used to create a dedicated platform that will then host complete products. Its core functionality will be the option to invest the token in products associated with Marshal Lion’s non-bank loans granted to companies and individual clients at various interest rates and maturity dates. The entire operation will involve the investors purchasing dedicated utility tokens (a form of cryptocurrency) under the so-called smart contracts. A Marshal Lion token may, but does not have to be used on the platform where the company will introduce products to allow investors to participate in market profits. 1MLGC with 25% discount = 0.19$",Marshal Lion Group Coin (MLGC),30th Oct 2019,31st Oct 2019,https://mlgc.io,Estonia,https://mlgc.io/ML_whitepaper_EN.pdf
Banking,,mycryptobank,3,"MyCryptoBank — is an online bank allowing any client registered in the electronic bank system to make a full range of bank operations, additional operations with cryptocurrency (payment processing, debit cards, credits and cheap investment products, use of cryptoassets as credit security and many others) based on Blockchain technology without visit of department. So, MyCryptoBank provides services of client’s remote access to accounts, products and bank services in order to make banking operations. MyCryptoBank offers its clients a multifunctional platform of banking service, which represents a hybrid system combining digital and traditional currencies. The use of digital currencies makes operations faster and cheaper, while traditional currencies guarantee practically all-round acceptance and validity. One account combination allows clients simultaneously using advantages of both types of currencies.",MCB,11th Sep 2018,31st Jan 2019,https://mycryptobank.io,Estonia,https://mycryptobank.io/docs/MyCryptoBank-white-paper.pdf,,,,,,
Banking,,polybius,31,"Polybius Bank project will operate on the principles of an Open API, employing reputable innovations and services within the framework of payment and data processing industry. The activities of the Polybius will be developed on an incremental basis investing the capital according to the development of the customer base and with the objective of maximizing the capital versus revenues ratio. By providing the infrastructure for system-to-system communications, Polybius Foundation will act as a Trustee service and will be responsible for the control and execution of compliance-related directives.",PLBT,31st May 2017,30th Jun 2017,https://polybius.io,,,,,,,,
Banking,,serenity,3.935974,Serenity is the first blockchain escrow for financial and cryptocurrency markets. Serenity will unite brokers and traders on a single platform that uses blockchain to ensure the never-seen-before level of protection of financial assets for all traders and investors no matter the country of residence. The main features of Serenity Platform are: - Escrow – securing funds via smart contracts - Recording trading operations in the blockchain - Verifying broker quotations - Cryptocurrency exchange for quick cryptocurrency purchase. The prototype of the exchange is already available on our website.,SRNT,25th Jan 2018,7th Mar 2018,https://serenity-financial.io,,,,,,,,
Banking,,ternion,,"We, as a team, are constantly trying to be ahead of the market. Pushing our boundries in order to achive what everyone else is only trying to. By putting trust into us, you form the future where we will stand all together tomorrow. You can get the first experience of the exchange platform here and see how the first version will look. Not only the exchange is comfortable for the institutional players, but it’s convenient and easy for any of the retail investors, as it comes with a mobile platform app and a web application. For the purposes of transparency and reliability, Ternion will undergo yearly audits to keep the public in the loop about future advancements. We know that decentralized digital finance is the future, but we also understand the unavoidable connection and value that traditional finance taught us, the knowledge which we are implementing into the cryptocurrency space today.",TRN,1st Oct 2018,11th Feb 2019,https://ternion.io,Estonia,https://ternion.io/TernionWhitepaper_en.pdf,,,,,,
Banking,,world bit bank,,"Vitsolutions, LLC has been conducting technical development of the World Bit Bank project and researching innovative financial technologies and the blockchain technology since 2016. World Bit Group which manages the World Bit Bank was established in 2018. It was registered in the EU and holds the Virtual currency against fiat currency exchange license and the Virtual currency wallet service license. Being under European jurisdiction, all real and digital assets of investors will have the highest security. By covering a large portion of the globe, we will be able to provide millions of people with banking services using cryptocurrency in conventional banking operations. Such services include: cryptocurrency loans, use of cryptocurrency in VISA/MasterCard debit cards, easy and cheap transfer and exchange of cryptocurrencies and many more financial transactions we make every day.",WBBC,1st Sep 2018,31st Dec 2018,https://wbb.io,Estonia,https://wbb.io/file/images/137/4/WBB-WhitePaper-EN-2018-5.pdf,,,,,,
Banking,,zantepay,,"Estonia based ZANTEPAY provides cryptocurrency multiwallet /debit card integration.You can spend your bitcoin, litecoin, ethereum and zantecoin anytime, anywhere. Sign up and pre-order your crypto card FREE of charge. Referral, affiliate bonus and cashback paid out in zantecoin and ethereum. Have a look at our awesome project, white paper, team and advisory board. Join ZANTEPAY, we bring cryptocurrency to the mainstream.",ZNX,15th Apr 2018,15th Jul 2018,https://www.zantepay.com,,,,,,,,
