cat1,cat2,name,raised,desc,ticker,start,end,www,,,,,,,,
Energy,,balticrypto,,"Every technological revolution that has stood the test of time has passed through two critical gates. The first is discovery; the idea is conceived of, or discovered by chance, and a new technological possibility is born. However for any discovery to be of consequence for humanity, it must pass through the second gate: application. Almost as great a leap forward as the uncovering of new tech, is its harnessing in the service of human advancement, and direct application to the improvement of the lives of real people.",BCT,14th May 2018,1st Jul 2018,https://www.balticrypto.io,,,,,,,,
Energy,,hashbyte,17,"Reports shows, Crypto miners are using more electricity than Serbia, Eric Holthaus calculated that by July 2019 Bitcoin would require more electricity than all of the United States and that by November of 2020, we’d use more electricity mining than the entire world. This sort of precipitous rise is stunning and poses great danger towards our climate in which its effects are already evident. Cryptocurrencies are here to stay but its environmental effects need to be addressed early on. HashByte ensues to foster the current cryptocurrency mining landscape towards a green/renewable model, annihilating the need for fossil fuel powered electricity.",HSB,1st Dec 2018,20th Dec 2018,https://tge.hashbyte.io,Estonia,https://tge.hashbyte.io/whitepaper/,,,,,,
Energy,,hyperion fund,,"Decentralized energy supply platform which helps households and businesses to acquire energy directly from Hyperion Foundation`s affiliated and non-affiliated partners at fixed prices. Obligations of Hyperion Foundation are backed by Hyperion Assets Management OÜ, a solar power investment company that finances and manages construction of solar production facilities around the world, with a particular focus on high-return emerging markets.",HT,15th Jul 2018,31st Aug 2018,https://hyperion.fund,Estonia,https://hyperion.fund/Hyperion_WP.pdf,,,,,,
Entertainment,,acebusters,,"Acebusters is a decentralized poker platform made by obsessive poker and cryptography fans. We strive to create Acebusters as a decentralized application (Dapp) which will offer the service of dealing cards and settling bets. The open and borderless nature of blockchain will allow players from all over the world to connect and create the largest poker liquidity pool seen to date. Through the use of multi-party state channels, a technology we developed to minimize the cost of interaction with the Ethereum blockchain, we have pioneered real-time cash games on the Ethereum blockchain. Our next step will be to launch games for real-value tokens on the Ethereum blockchain. We will kick off the launch with a crowdsale attracting sufficient financing to complete our development roadmap and fully decentralize the operations of the Dapp.",ABP,21st Sep 2017,21st Dec 2017,http://www.acebusters.com,,,,,,,,
Entertainment,,adhive,12,"AdHive is the first AI-controlled Influencer Marketing platform with Blockchain technological solutions. The AdHive platform fully automates all steps of interaction with influencers in order to save a huge amount of time and effort for advertisers. The platform will offer brands the opportunity to place a native video ad on an unlimited number of influencer channels without having to worry about proper execution. Native video advertising will become easy to run, and new opportunities for blog monetization will power community development and increase audience and advertising capacity.",ADH,28th Feb 2018,14th Mar 2018,https://adhive.tv&utm_medium=listing&utm_campaign=ico,,,,,,,,
Entertainment,,asobi coin,5,"The concept of ASOBI COIN is digital content trade on distributed secondary market. A new blockchain economic era for the publishers creators and users. Asobimo DApps platform will make digital content on the secondary markets a valuable asset for all parties, and provide a secured trading experience at a minimal cost and frictionless. Asobimo DApps will provide a distributed secondary content platform with “Decentralized Security System” (DSS), the blockchain will provide irrefutable proof of content ownership.",ABX,4th Jul 2018,30th Jan 2019,https://asobimo.io/en,Estonia,https://asobimo.io/pdf/white_paper_en.pdf,,,,,,
Entertainment,,betmaster,5.244313,Blockchain enabled innovative online sports betting platform. We have scientifically reinvented the Sport Betting process utilizing decentralized power of blockchain and flexibility of crypto currencies to achieve unrivaled operational efficiency and high profitability.,BETM,6th Sep 2017,31st Dec 2017,https://betmaster.io,,,,,,,,
Entertainment,,cryptonsgame,,"CryptonsGame is a first blockchain ecosystem to combine crypto-collectible platform and video games. It’s a vast, constantly evolving world with rich, expanding history and startling plotlines that guarantees players' engagement for years to come. CryptonsGame developed unique and innovative game mode that will allow players to use their self-created models as a heroes of upcoming video and mobile game.",QST,1st Sep 2018,31st Oct 2018,https://cryptonsgame.com,Estonia,https://cryptonsgame.com/wp-content/uploads/2018/04/wp-cryptons-en.pdf,,,,,,
Entertainment,,flux token sale,2.854554,"FLUX — unique global gaming platform that unites all parts of gaming industry ecosystem where players, developers, traders, and the gaming community can transform their time and needs into money using special gaming FLUX COIN. Utility token is needed to purchase gaming items, receive rewards, and participte in competitions and tournaments.",FLUX COIN,17th Apr 2018,31st May 2018,https://flux.fund,,,,,,,,
Entertainment,,gnome invasion,,Gnome invasion Token opens a world for collectible and playable cards accompanied by Gnome Invasion book that is connected to the internet. Reading will never be the same again. We release a smartbook and the most exciting blockchain based card game with collectible cards. Both are for online and physical gaming. Book will act as a lore for Gnome Invasion Universe. All the cards are tradeable on the block-chain and all our products are redeemable for GIT tokens.,GIT,11th Jul 2018,28th Sep 2018,http://gnomeinvasion.io,Estonia,http://gnomeinvasion.io/wp-content/uploads/2018/05/GIT-Whitepaper-1.pdf,,,,,,
Entertainment,,hussy,,"HUSSY is a distributed escorting and due diligence infrastructure. The value proposition is to create a platform and to provide incentives for sex workers around the globe for safe execution of their profession. We have identified that the root cause of most problems associated with sex work lies in a social stigma toward the participants, leading to a contradicting discrepancy between the need for privacy and trustworthiness. The solution we offer provides anonymized but verifiable KYC compliance, professional health certification and Proof of Consent stored on the Blockchain.",HUS,1st Jan 2019,31st Jan 2019,https://hussy.io,Estonia,https://hussy.io/app/assets/whitepaper.pdf,,,,,,
Entertainment,,iqeon,1.564307,"IQeon team develops a flexible and scalable platform for the rapid launch of new products that allow players to compete among themselves in a variety of intelligent and logical tasks, receiving IQeon internal currency for the best result. Another direction for the development of IQeon platform is motivational applications. This direction is especially important in the field of education, sports, and the observance of a healthy lifestyle. Often people do not have enough inner motivation to study certain material, or force themselves to run in the morning, or lose several kilograms",IQN,30th Jan 2018,13th Mar 2018,https://iqeon.io,,,,,,,,
Entertainment,,meetngreetme,0.25,"MeetnGreetMe is a marketplace where international travelers can find personal assistants/concierges among local people. Powered by AI MeetnGreetMe hybrid blockchain platform transforms travel experience into a really personalized experience and lets every traveler enjoy an individualized adventure in line with their needs and budget. MeetnGreetMe aims to bring radical changes to travel and hospitality industry via building a new ecosystem where every member is incentivized to contribute their time, skills, local expertise and resources to the MeetnGreetMe ultimate goal - to put a traveler’s needs and experience first.",WEL,27th Mar 2018,21st May 2018,https://ico.meetngreetme.com,,,,,,,,
Entertainment,,parsec frontiers,0.740554,"Parsec Frontiers is a massive multiplayer online game with a virtual economy blockchain. Players can explore the Milky Way galaxy, extract and trade resources, freight goods, attack others and manufacture new and more advanced objects. All in-game items and resources are stored on a high-capacity blockchain with fast confirmations.",PARSEC,15th May 2018,31st May 2018,https://parsecfrontiers.com,,,,,,,,
Entertainment,,rasputin,3.027311,"RasputinOnline is a premium live broadcast Entertainment hub giving viewers from across the globe the medium to connect with our in-house models on different levels. Our fresh concept in entertainment for adults is centred around our custom-built broadcast studio which is set out as a party house, in this party house will live 60 models all coming from different parts of the world. Throughout the house there will be up to 100 cameras streaming life inside live, in High Definition, 24 hours per day. Cameras will be placed in all living areas, party and bar areas, swimming pool, gym and spa areas, the outdoor kitchen and hot tub area and in the bedrooms and bathrooms all of which broadcast live pictures and audio to our paying customers.",ROC,20th Jul 2017,29th Aug 2017,https://ico.rasputinonline.com,,,,,,,,
Health,,cannabisfarm.io,,Fibonacci is a self-contained system which does not require professional agronomic skills to grow. Our customer may easily control and monitor cultivation cycles by smartphone. Fibonacci home farming appliance can be easily placed indoor providing its customers with pure organic and high quality products.,FIB,24th Feb 2018,24th Mar 2018,http://cannabisfarm.io,,,,,,,,
Health,,farm2kitchen,,"Farm2Kitchen® is building a decentralized Food Traceability platform on the Blockchain for the Food Distribution industry. The Blockchain is a distributed digital ledger to track the food at every stage of the supply chain from the farm all the way to the kitchen. We are providing secure Application Programming Interfaces (APIs) for Software Developers to build apps to access the platform. To protect people from unsafe food, you have to be fast and you have to be right – and Farm2Kitchen® Blockchain technology offers a chance to improve speed, accuracy and trust levels as never before. Farm2Kithen® founders have already successfully delivered Food Traceability solutions to farmer producer organizations in India. In sustainable agriculture space since last 5 years, Farm2Kitchen® is also a pioneer of organic food retailing in India.",F2K,22nd Apr 2019,5th Aug 2019,https://www.farm2kitchen.io,Estonia,https://www.farm2kitchen.io/downloads/f2kwhitepaper.pdf
Health,,fitvitalik,0.016138,"Because some people are much too busy thinking about our future. They’ve forgotten to think about theirs. We, the crypto currency community, have made it our mission to help one altruistic yet self-neglectful genius at a time. We’re talking about Vitalik Buterin! Sure, he’s one cool dude.",FVIT,25th Nov 2017,9th Dec 2017,https://fitvitalik.io,Estonia,,,,,,,
Health,,healthureum,40,"We bring robustness, trust, and efficiency to future proof healthcare procedures. We facilitate the smooth exchange of data between patients, internal departments and hospitals, to reduce errors, fraud and cybercrime, ensuring ownership of data is with the patient.",HHEM,26th Feb 2018,1st Apr 2018,https://www.healthureum.io,,,,,,,,
Health,,nutrilifeio oü,,"Nutrilifeio OÜ be "Decentralized Platform" where the doctor of the future will treat the human frame by prevents disease throughout Nutrition Therapy screening, assessment, “P2P Services” rendered by nutritionists, dieticians and trainers.",NutrilifeToken (NLC),22nd May 2019,17th Aug 2019,https://nutrilife.io,Estonia,https://drive.google.com/open?id=1zBENTn5f_KytuTAo2ZY6QD1CuBhN0WbB
Health,,solve.care,20,"Solve.Care Foundation was established with the mission to decentralize and redefine administration of healthcare and other benefit programs, globally. We are seeking to improve care outcomes through effective coordination and eliminate much of the cost of duplication, inefficiency, waste, abuse and fraud from the system.",CAN Token,31st Mar 2018,1st May 2018,https://solve.care/tokensale,,,,,,,,
Infrastructure,,coinstruction,,"CoinStruction is a multifunctional system, ensuring secure cryptocurrency exchange for crypto-exchange platforms. The first in the world B2B/B2C cryptocurrency market in which we are going to connect multiple worldwide exchanges, wallets, bots and other crypt-partners. CoinStruction creates a secure network of different exchange platforms, trading networks, payment gateways and liquidity providers from all around the world. By aggregating the trade orders on to a single framework, CoinStruction creates a back-end layer of interoperability and standardisation for the cryptocurrency B2B service sector. The framework significantly increases the efficiency, scale, speed and potential of cross-platform trading of various cryptocurrencies, tokens and other crypto assets world-wide.",CST,1st Dec 2018,11th Dec 2018,https://coinstruction.com,Estonia,https://coinstruction.com/static/CoinStruction_Whitepaper_EN_v1.1.pdf,,,,,,
Infrastructure,,crowdcoinage,8.915,CrowdCoinage is a Decentralized Crowdfunding Platform for ICO Campaigns. CrowdCoinage's goal is to provide a complete solution to start and fund a business from anywhere in the world in a decentralized environment for free.,CCOS,12th Feb 2018,12th Mar 2018,https://crowdcoinage.com,,,,,,,,
Infrastructure,,depository network,,"Depository Network is a B2B project combining the traditional financial system with the blockchain technology. We build a secure infrastructure for lenders to accept blockchain assets as guarantee for loans. - Improve the liquidity of 100 million crypto holders. - Allow all lenders worldwide to enter into the crypto world. - Support many crypto currencies and tokens. Depository Network enables all lenders to accept crypto as guarantee without changing the lending process. We provide the missing technological layer to the lenders as banks, credit institutions, and p2p lending platforms.",DEPO,15th Nov 2018,15th Dec 2018,https://www.depository.network,Estonia,https://depository.network/doc/whitepaper.pdf,,,,,,
Infrastructure,,hyperbridge,,"Hyperbridge is developing decentralized protocols for the deployment of dapps within an industry specific “micro-economy”, facilitated through their protocol-driven platform BlockHub to unite producers & consumers. The first focus will be on the gaming industry,. BlockHub will provide game developers with an out-of-the-box solution to fundraise, market, and publish their games, while also giving consumers a vibrant marketplace to find new, innovative titles.",HBX,10th Nov 2018,10th Dec 2018,https://hyperbridge.org,Estonia,https://hyperbridge.org/whitepaper/,,,,,,
Infrastructure,,parkade,,"There’s a worldwide parking crisis, and it’s growing each year. Populations are on the rise and usable land is scarce in major cities. There are billions of cars across the globe. They all need somewhere to park, but there are simply not enough spaces. Since land is a resource that we can’t make more of, we have to develop systems to make more of the land we do have. That means building better infrastructure. This is the goal of Parkade.io – to create a full-scale parking system that can be used in any city to make parking more affordable and convenient. We’re intelligently redesigning parking through custom technology and real estate management strategies. It starts with Parkade Coins, of which 100% of the net proceeds of the ICO will be invested into parking spots, lots, and parkades. Parkade Coin holders will have the right to participate in profits generated by assets owned by the company and they will benefit from stable price appreciation. Once the Parkade Coin ICO has come to an end, the first strategic action will be purchasing parking real estate. The second phase will be to improve on that real estate. We will be building up rather than out, buying and improving current lots, and using custom-developed technology to make parking more accessible. Together, we’ll be solving the global parking crisis with strategic investment.",PRKC,30th Aug 2018,15th Dec 2018,https://www.parkade.io,Estonia,https://parkade.io/Parkade_Coin_Whitepaper.pdf,,,,,,
Infrastructure,,uncloak,,"Introducing Uncloak: The future of cyber threat detection. Advanced artificial intelligence to check public & hidden internet data for “Zero Hour” cyber threats. Next generation vulnerability cyber security scanning. EOS Blockchain powered, allowing verified IT security experts worldwide to collaborate in resolving cyber threat vulnerabilities and be rewarded through a fully automated system.",UNC,4th Jun 2019,7th Jun 2019,https://uncloak.io,Estonia,https://whitepaper.uncloak.io/
Infrastructure,,vlb,,"VLB Tokens streamline the $1.8 trillion vehicle lifecycle industry. Vehicle Lifecycle Blockchain creates cost saving and operations optimization opportunities for auto industry players. Value of these opportunities exceeds the value of VLB Tokens at ICO by multiple orders of magnitude. Vehicle Lifecycle Blockchain will ultimately be fully decentralized and will be deployed by CarFix in cooperation with QIWI Blockchain Technologies (NASDAQ: QIWI) CarFix, the issuer of VLB Tokens, is a transaction platform that is reshaping one of the largest consumer industries in the world – auto sale, repair & maintenance. CarFix, just after 18 months since creation, has already brought a significant degree of order and transparency into the industry. CarFix has developed and implemented software that establishes algorithm based final fixed prices for all key repair and maintenance works. CarFix has support of institutional investors.",VLB,12th Mar 2018,9th Apr 2018,http://vlb.io,,,,,,,,
Infrastructure,,wulet,,"WULET is a blockchain based platform that unites all loyalty programs with a synergy effect for companies. We are creating the ultimate tool that will help customers to store all their cards, discounts, and coupons in one convenient system, to exchange loyalty points of different companies and use them timely to their maximum effect. In the meantime, it will allow companies to elevate the management of loyalty programs to an absolutely new level, to benefit from entering a “blue ocean” market of tradable loyalty points and to increase ROI and client retention rate. WULET blockchain ecosystem with its innovative features will allow companies worldwide to: -benefit from entering a “blue ocean” market of tradable loyalty points; -breathe new life into the “tired” concept of loyalty programs; - receive data, which will allow to adjust loyalty programs strategy; -win and retain new customers on principles of personalization and exclusivity; - implement crypto cashback.",WU,1st Jun 2018,30th Jun 2019,https://wulet.io,Estonia,https://wulet.io/wu_onepager_en.pdf
Internet,,intro,,"INTRO is an Ecosystem for real estate market players. Already today, the system has more than 6800 objects from 1800 developers, which you can buy with a discount of up to 30%. We are ready to scale our business to the global market. Smart contracts allow investors to make a deal with the property developer without any intermediaries.",ITR,1st Jun 2018,11th Oct 2018,http://introa.io/en,Estonia,https://introa.io/files/%D0%98%D0%9D%D0%A2%D0%A0%D0%9E%20WP%20en.pdf,,,,,,
Internet,,ivin,,IViN is a Social network with virtual reality function. The social network IViN will be used a decentralized payment system that uses the same name unit for accounting operations and the same name data transfer Protocol. Cryptographic methods are used to ensure the functioning and protection of the system.,IViN,1st Jul 2018,15th Aug 2018,https://ivinworld.com,Estonia,https://ivinworld.com/white-paper-2/,,,,,,
Internet,,watchugot,,"WatchUGot is an Ethereum based social networking app that provides users with the tools and platform to develop community fundraising campaigns. We combined the crowdfunding components of GoFundMe with the social aspects of Facebook and Instagram on a blockchain. WatchUGot allows users to create and participate in fundraising initiatives for meaningful causes, while being rewarded with real cash-value in the form of our WUG tokens. Our legacy (non-blockchain) version of WatchUGot is already live and available for download on Google and Apple marketplaces.",WUG,1st Feb 2019,10th Apr 2019,https://watchugot.co,Estonia,https://drive.google.com/file/d/1X0k2IAukolsP6B6e7C8R6XEa37EWdwVE/view
Internet,,wox,,"WOX is a new blockchain technology which aim to develop a safest transaction bridge between private and public blockchains into its native blockchain. WOX is the first hybrid intelligence decentralized cryptocurrency exchange & payment system in the world. WOX is not just a protocol, WOX is a new blockchain technology. Cross-chain decentralized exchange between Bitcoin, Ethereum, Tron, Litecoin, EOS, Nem and its tokens so you can make a transaction between two different blockchains cryptocurrencies with an unique address which will be generate in WOX blockchain. That is our difference, WOX is a revolutionary financial project. WOX is backed by BTCBear DEX.",WOX,1st Nov 2019,30th Nov 2019,https://www.wox.network,Estonia,https://wox.network/document/WOX_Whitepaper_v2.pdf
Investment,,axnet,,"Asset Exchange Network (AXNET) is a licensed virtual currency to fiat exchange with a licensed virtual wallet platform based out of Estonia. We service our traders worldwide by giving them the first hybrid trading platform that offers both a Centralized and Decentralized exchange that allows our traders to toggle between the two. We are listing traditional BTC, ETH, and USDT pairs with also fiat pairs like USD and EUR through our license and banking networks. Our AXNET Token (AXN) is the fuel of our ecosystem that gives the users the ability to access exclusive features and discounts on the exchange and enable our Trade Mining system.",AXN,1st Aug 2018,30th Sep 2018,https://www.ax.net,Estonia,https://ax.net/assets/AXNETWhitepaper.pdf,,,,,,
Investment,,blockhive,0.3198,"blockhive will raise debt using a new structure it has developed jointly with Agrello, called Initial Loan Procurement (ILP), a legally binding loan agreement. Once creditors enter a loan agreement with blockhive through ILP, they receive Hive tokens. The token allows creditors 1) to trade their contracts with others, 2) for new token holders to enter into a loan agreement with blockhive. Creditors are entitled to receive, as interest on the loan, 20 percent of the annual operating profits generated by blockhive from the platform. As the company incubates more projects, it expects revenue to grow potentially. The debt raised will be used on new resources such as hiring as blockhive expands its ecosystem.",HIVE,14th May 2018,30th Jun 2018,https://ilp.blockhive.ee,,,,,,,,
Investment,,bulleon,,"Bulleon is not just another digital asset service, it will be a product combination with a massive amount of high skilled labor input. Bulleon is a Universal digital asset platform, which is also aimed at building a strong, concept-driven currency that offers the chance to see profits and gains considerably snappier and can take benefits out more effortlessly. Bulleon will provide customer user-friendly tools to satisfy his all the digital resource needs and help comfortably navigate the crypto world. The customer only needs to focus on his own business, not its technical difficulties.",BUL,1st Jan 2018,31st Dec 2018,https://bulleon.io,Estonia,https://bulleon.io/blackpaper_bulleonn.pdf,,,,,,
Investment,,cindxsto,3.86884,"CINDX provides a platform that allows investor to choose a manager for his or her portfolio and securely trade cryptocurrencies, for a reasonable success fee. Using CINDX, investors can now access a range of verifiable, transparent statistics pertaining to individual managers in order to choose a suitable trading strategy. Investors don't have to transfer assets to the platform and charged only with success fee. Proficient managers get rewards and higher success fee rate. vendors provided with SDK to build trading and analytical products and marketplace to sell them without transferring code behind the product.",CINX,8th Oct 2018,26th Dec 2018,https://cindx.io/d,Estonia,https://static.cindx.io/en/whitepaper.pdf,,,,,,
Investment,,cryptoxygen,0.4,"This is a first in the history of the crypto world industry, that a crypto exchange platform seals a partnership with a hardware manufacturer-Thomson Computing-(French historical electronics brand since 1893). Cryptoxygen platform will be integrated directly in more than one million laptops and tablets sold on a yearly basis all over the world. As result, it will generate a considerable number of users and gain rapid market share by increasing appreciation of our token value. Cryptoxygen is a blockchain-based ecosystem that comprises of exchange and a multi-blockchain mobile wallet for iOS and Android platforms, to provide secure, fast and advanced crypto trading solutions at lowest rates. The Cryptoxygen exchange platform allows fiat-crypto and crypto-crypto trading. It comes with an easy-to-use interface, data charts and real-time price tracking, making it easier for users to manage their cryptocurrency portfolio. The wallet, on the other hand, allows users to store, buy and sell.",OXY2,15th Jan 2019,30th Apr 2019,https://www.cryptoxygen.io,Estonia,https://www.cryptoxygen.io/assets/whitepaper/cryptoxygen.pdf
Investment,,cyber capital investsto,,"Today Crypto Currency is becoming mainstream. As a result, the profits to be made from trading Cryptocurrency have become very well known, through friends, colleagues and the media. Stories of people turning a small piece of capital into exponential growth, a large nest egg, by investing in and trading Cryptocurrency. Although Crypto is becoming mainstream there is still an enormous amount of the population who don’t fully understand how it works and how to use it. People who don’t know how to setup a Crypto wallet, buy currency, read the market signs, in order to know when to trade. The Cyber Capital Invest mission is to offer our users the most flexible and secure cryptocurrency investment fund with a highly profitable business model.",CCI,12th Nov 2018,3rd Dec 2018,http://www.cybercapitalinvest.io,Estonia,http://www.cybercapitalinvest.io/documents/CCI%20WhitePaper.pdf,,,,,,
Investment,,descrow,3.870086,DES – Decentralised Escrow Service (Descrow) is the first in the world and unique by its nature decentralised escrow platform for conducting ICOs. Our project mission: To make safer ICO for all participants. To eliminate the excessive distrust of the potential investors to the new startups. Give a boost to the further ICO market growth. To integrate our idea as a versatile instrument into all applicable blockchain segments.,DES,29th Nov 2017,27th Jan 2018,https://descrow.com,Estonia,https://descrow.com/images/WP_en.pdf,,,,,,
Investment,,one solution,,"One Solution is an ecosystem combining within itself a decentralized fund for cryptocurrency investing, our own cryptocurrency possessing unique features, as well as a startup academy. The One Solution Fund eases the process of IСO investing, eliminates the issue of scams, opens up access to large investment discounts and bonuses. The properties of the Solvo cryptocurrency guarantee its stable price growth and high level of volatility, which makes it a reliable and highly profitable investment instrument, as opposed to most other cryptoassets. One Solution Fund operations are decentralized, all managerial and investment decisions are made through voting by all Solvo coin holders. The initial selection of projects for investment purposes is carried out by the Fund's highly qualified experts, which are admitted to their positions by means of voting. The automatic mining deduction system to the Fund’s portfolio guarantees the portfolios stable growth and the expansion of its investment capabilities. The link between the Solvo coin and the Fund’s portfolio guarantees their price growth as the project develops, and quarterly dividend payouts in the size of 70% of the Funds profits guarantee high volatility during the run up to dividend distribution.",OSF,8th Dec 2018,8th Feb 2019,http://1solution.io,Estonia,http://1solution.io/static/ver109/files/whitepaper.pdf,,,,,,
Investment,,reales coin,,"Reales coin is a crypto-coin that is backed by physical gold and silver, along with a basket of cryptocurrencies that contains bitcoin and other major bigger players in the crypto market. Being the perfect mix to protect and grow your wealth.",RLS,10th Jan 2018,10th Feb 2018,https://realescoin.io,,,,,,,,
Investment,,wolfs group,,"Wolfs Group is an established company which has more than 20 years of experience in Real estate ,Cutting edge technology, FinTech, Equity , Portfolio Management. With the acquisition of Ferpay LTD Wolfs Group has done agreement with VISA for roll out of multi currency cards and payment gateways of USD/EUR/BTC/ETH. As Wolfs Group has already done acquisition of Automation Company Bitcoin ATM’s will be installed soon all across Europe. Company is already Featured in Poland Forbes Magazine, Cointelegraph, CCN, Hackernoon",WLF,3rd Jan 2020,20th Jan 2020,https://wolfs.group,Estonia,https://wolfs.group/wp-content/uploads/2019/12/Wolfs-Group-Whitepaper_EN.pdf
Legal,,jury.online,3.927409,"Jury.Online is a standard setting protocol of the future of the ICO. Jury.Online strives to ensure a new environment for the future of the ICOs making them responsible to deliver their ideas into viable projects by securing investor funds on a decentralized escrow smart contract published by the Project. The release of the funds and tokens may be activated only by initiation of each stage of the product's development or by third-party decision of the arbiters linked to the smart contract. Jury.Online has released v.1.0 of the platform together with demo version in Ropsten testnet. Jury.Online supervised and supported by Krypton Capital, which has dozens of projects in its portfolio.",JOT,12th Feb 2018,30th Apr 2018,https://jury.online,,,,,,,,
Manufacturing,,agro tech farm,,Unlike other types of growers ATF home farm does not require professional agronomic skills either specific knowledge regarding vegetation process. All operations related to photosynthesis are scripted and fully automated. Our customer may easily control and monitor cultivation cycles by smartphone. There are two vegetation cells which allow to grow two large plants in sequence.,ATF,1st Feb 2018,28th Feb 2018,http://ico.agrotechfarm.com,Estonia,http://ico.agrotechfarm.com/wp_atf.pdf,,,,,,
Manufacturing,,earthbi,1.5,"EarthBi combines the virtual world - through the creation of a special token utility for the "green" sector called "ERA" - with the production of polymers with characteristics of high biodegradability and quality and wide use. The project, in essence, is aimed at the diffusion of innovative biopolymers, generated thanks to proprietary industrial property rights (patents and know-how). The ERA token utility will allow buyers to obtain bigger quantity of raw materials (30%) or discounts (equal to 30% of the average market price of BVW) on the finished products made of bioplastic. ERA can be purchased and exchanged through special portals. The EarthBi project will also have use of the full traceability of the production chain thanks to the use of blockchain technology in order to guarantee customers and consumers the qualities and characteristics declared. The availability of EarthBi piopolymers at full capacity will be approximately 60,000 tons for year.",ERA,9th Apr 2019,26th Jul 2019,https://earthbi.io/en,Estonia,https://earthbi.io/en/whitepaper-2/
Media,,cewnote,,"Cewnote is a decentralized news platform using blockchain technology and is established on the Ethereum blockchain. With usage of blockchain technology, the Cewnote platform will be decentralised and able to bring more trustworthy news. We will use an advanced algorithm that makes usage of Cewnote tokens, to decentralize and revolutionize the news industry. Cewnote wants to integrate blockchain technology into the online media/news industry to decentralize this industry worldwide.",CEW,4th Sep 2018,25th Dec 2018,https://cewnote.com,Estonia,https://cewnote.com/img/Whitepaper%20Cewnote%20PDF.pdf,,,,,,
Media,,navibration,,"Navibration, a technology startup, is creating the navigation of the future: offline navigation through vibration and a whole ecosystem of audio tours from cities all over the world, built on blockchain technology. The initial development of the project was backed by the Government of Spain and the company has patented the navigation system by vibration. Navibration has a working MVP, available in both App Store and Google Play, with thousands of registered users. In future versions of the app, the token of the company, Navicoin, will play a fundamental role within the platform, becoming the center of the audio tours ecosystem and the Navibration sharing economy.",NAVI,25th Sep 2019,25th Oct 2019,https://www.navibration.com,Estonia,https://www.navibration.com/Navibration-whitepaper-EN.pdf
Media,,neironix,3.003664,"Neironix is the first independent international rating agency for investment risk evaluation in blockchain economics, where ratings are assigned to the projects automatically on the basis of mathematical scoring results, neuron networks, and multidimensional analysis of large bulk of data. The platform is designed for analysis and subsequent management of risks typical of projects with investments in projects with high degree of uncertainty. Neironix mission is to become a global provider of financial and analytical information about cryptocurrency markets, required for making carefully weighted investment decisions and building long-term market strategies.",NRX,1st Sep 2018,30th Nov 2018,https://tokensale.neironix.io,Estonia,https://tokensale.neironix.io/files/whitepapper/en.pdf,,,,,,
Other,,foodnation,0.15,"We are a online food delivery marketplace, developed collaboratively, using the blockchain technology and having as key part the distribution of the profits with the sellers and promoters for a more viral and sustainable growing. The online food order market is practically under the domain of big players whose profit margins are very significant, sometimes more than 50% of the services taxes. These monopolies eliminate good part of the business competition making both restaurants and clients run out of options. Nowadays this market moves USD 121 billion and the foresight is that will be still growing in high taxes (approximately 18% a year) reaching, in 2002, nearly USD 234 billions. FoodNation is creating a marketplace for food order by apps with division of efforts for conquer together this billionaire industry. All the partners that are involved in the network could enjoy, in a meritocratic way.",FOOD,1st Apr 2019,30th Jun 2019,https://www.foodnation.io,Estonia,https://files.foodnation.io/whitepaper.pdf
Other,,helixhills,,"HELIXHILLS using blockchain infrastructure to help consumers, service providers, and professional consultants automate the algorithms for selecting business partners and concluding deals, to record interaction time and bill the relevant parties using corresponding tariffs, and provide instant loans to reliable users. HELIXHILLS helps to record interaction time and bill the relevant parties using corresponding tariffs, and provide instant loans to reliable users. HELIXHILLS has been created for provision of on-demand advice, ordering of all types of services, receiving money in exchange for services, expert advice, and professional skills. HELIXHILL token is the value of true money backed by the most demanded resource on the planet — the professional skills of people!",HILL,27th Oct 2018,21st Aug 2019,https://helixhills.com,Estonia,https://helixhills.com/docs/helixhills_whitepaper_en.pdf
Other,,sorbase,19.43894,"Smart Order Routing will help you with this problem. This system analyzes an incoming order, leafs through all order books from all exchanges, then divides your order into several parts and executes the deal the best way possible.",SOR,7th Dec 2017,6th Jan 2018,https://sorbase.com,Estonia,https://sorbase.com/sorbase_whitepaper.pdf,,,,,,
Platform,,adpump,,Amazon in digital marketing! Adpump Blockchain Affiliate Marketplace is a decentralized tracking marketplace with the list of CPA advertisers who pay fix commission to Adpump for tracking platform usage. Adpump Blockchain Affiliate Marketplace is not just another CPA network or performance tracking platform. We are the platform with advertisers all over the world with the offers of different categories; we provide publishers open access to statistics and fast anonymous (if needed) payment. We also have our currency – ADP tokens in which publishers can buy traffic from our partners. Our global aim is to become a unique product - perfectly transparent Blockchain Affiliate Marketplace. We want to embed a new format of traffic purchasing in ADP tokens all over the world as it becomes clear that familiar CPA marketing model loses its ground.,ADP,13th Nov 2017,25th Dec 2017,https://adpump.io,,,,,,,,
Platform,,agrello,35,"With a combined experience of 45 years in the tech-friendly Estonian legal system, and accompanied by industry-leading blockchain and information science experts, the Agrello team is determined to bring legal technology into the 21st century.",DLT,16th Jul 2017,17th Aug 2017,https://www.agrello.org,,,,,,,,
Platform,,aida,2.304106,"AIDA SERVICE provides automated sales and services without intermediaries. Our users are Customers, Producers, Logisticians, Warehouses and Network Partners.",AID,28th Feb 2018,25th May 2018,http://ico.aida.market,,,,,,,,
