cat1,cat2,name,raised,desc,ticker,start,end,www
singapore,,oilwellcoin,,"OilWellCoin is the first project in the world aimed at solving the problem of financing and developing the oil industry on the basis of blockchain technologies. It is created by a group of professionals with more than 40 years of experience in oil exploration, software development, and law. The basis of the project is the OilWell platform, which is created to promote the liberalization and transparency of processes in the oil product market. The strategic goal of the OilWell project is to implement innovative blockchain-based financing mechanisms in the oil production, refining, and marketing industries, which will reduce the threshold for investors to enter the business and increase capital inflows into the industry. OilWell platform will allow anyone to become a member of the oil business.",OILD,8th Jul 2019,9th Dec 2019,https://oilwellcoin.io,Singapore,https://oilwellcoin.io/storage/settings/March2019/mdmD8LmROPAssYYMNlsD.pdf
switzerland,,asure network,,"Asure Network is a layer 2 scaling network that enables fast, easy and secure transactions for not only payment transactions, but also generalized smart contract. Founded by German insurance and technology experts, the network enables everyone to quickly build, operate, and use highly scalable business applications through innovations in multi-chain scaling techniques and incentive-aligned crypto economics mechanism designs. What Problems Does Asure Network Solve? We are developing Asure Network as an infrastructure for social security systems of the future. Our goal is to provide access to 4.1 billion people worldwide who have no access to social security systems today. The existing social security systems are based on centralized databases, intransparent processes, fraud, corruption, labor-intensive processes and lack of trust in systems are the challenges we solve with the help of blockchain and thus we create a global inclusion in the social security market, just as Bitcoin allows for inclusion in the financial market. Asure Network is a public blockchain that enables you to run complex business applications such as social insurance systems. By using a multi-chain architecture, individual applications are distributed and scaled using sub-chains, resulting in high transaction throughput. The integrity, traceability, and transparency of the blockchain technology can create a high level of confidence in the accuracy and fairness of the implemented business processes. This is in direct conflict with the protection of user-related data and privacy standards such as the EU General Data Protection Regulation (GDPR). Integrating zero-knowledge-proofs and decentralized identities give Asure Network the ability to resolve this conflict. In the future, there will be many specialized blockchains for various applications. Asure Network uses bridging technologies to connect to other blockchains and allows the use of business processes across block boundaries. Ethereum is the first blockchain to be connected to the Asure Network.",Asure / ASR,1st Dec 2019,31st Dec 2019,https://asure.network,Switzerland,https://www.asure.network/asure.network.whitepaper.en.pdf
UK,,brikcoin,,"BRIKCOIN is using an innovative financial model to solve the affordable housing crisis in the UK, working with local government and financial institutions. In addition to property revenue, the company plans to leverage its tenant base to launch payments with BRIKCOIN and support innovative proptech companies.",BRIKCOIN (BRIK),1st Jun 2019,31st Dec 2019,https://www.brikcoin.net,UK,https://drive.google.com/file/d/1Rjq77iRTCgRr6bayjWRegkJLeziisF8h/view?usp=sharing
UK,,canlead,,"We operate a London-based job and business opportunity sharing platform which is accessible via our websites and mobile apps. Users can use the app to refer people to job or business service opportunities, and make money. Canlead comprises of a strong management team who is innovating and disrupting the traditional job and recruitment industry. Our job opportunity-sharing economy model is inspired by Uber ride-sharing and Airbnb accommodation-sharing. Canlead self-governed ecosystem is unique where everyone is incentivised to harmonise their community, to prevent bogus profiles, fake adverts and false payments. What Is CAND Token:- Canlead is introducing the CAND Token to the job and business OPPORTUNITY-SHARING economy, helping you refer people to opportunities and rewarding successful referrals. The CAND Token is a UTILITY token, people earn CAND by performing certain tasks in the network or they can buy CAND to get access to the opportunity they want from the Platform.",CAND,1st Nov 2019,31st Dec 2019,http://www.canlead.io,UK,https://drive.google.com/file/d/1GJu5O1BZN4XNvyMiwD8mUbJGfQ7LjTo_/view?usp=sharing
UK,,elad network,0.502563,"ELAD Network is a Real Estate platform with a difference. By taking advantage of the power of fractional ownership any property can be divided into different sized chunks that provide investment opportunities from £50 to £50,000. There will be a monthly return on the profit which is directly relational to the size of the investment. Our mission is to cut the costs and improve the efficiency of Real Estate transactions giving everyone the opportunity to buy, sell and invest in property and gain access to the property ladder with a turnaround unseen until now. ELAD Network combines Blockchain, Smart Contracts and Artificial Intelligence technology to create a Cryptocurrency and a Real Estate platform that will give everyone access to the liquidity of the Real Estate the world’s largest asset class.",ELAD,10th Oct 2019,20th Dec 2019,https://www.elad.network,UK,https://s3.eu-west-2.amazonaws.com/elad-public/ELAD+Network+White+Paper.pdf
UK,,global property register,,"Global Property Register -Where Blockchain and Artificial Intelligence Meet. Global Property Register - the world’s FIRST and ONLY universal real estate register! Short for GPR, Global Property Register is the first of its kind - a global register and property exchange covering both developed and developing countries alike. GPR delivers proof of ownership for the estimated 4.5 billion people globally who are not covered (around $20-trillion in value), reconnecting them to the real estate and financial markets. Additional analytical solutions and tools, powered by artificial intelligence, empower property owners to make smarter decisions. Our vision is to educate the global population through a new kind of social network, available to (and accessible by) all. Join us as we fight for financial inclusion worldwide.",XRX,26th May 2019,1st Dec 2019,https://globalpropertyregister.io,UK,https://globalpropertyregister.io/wp-content/uploads/2019/03/revised-wp2.pdf
USA,,benefitcoin,,"The global economy is inevitably moving towards digital eco-system. The newest and most promising addition to the digital payment sector is cryptocurrency. We proudly present to you brand new, revolutionary digital currency benefitcoin",BENFIT,10th Sep 2019,10th Dec 2019,http://benefitcoin.xyz,USA,https://benefitcoin.xyz/BENEFIT%20COIN%20WHITEPAPER.pdf
USA,,malaysia 370 movie,,"What does the theft of billions of dollars by corrupt Malaysian officials and the LIVE harvesting of transplant organs from innocent Prisoners of Conscience by the Chinese government have to do with the disappearance of Malaysia Flight #370? EVERYTHING!!",MH370,1st Jul 2019,31st Dec 2019,http://www.Malaysia370-ICO.com,USA,https://www.malaysia370-ico.com/MH370-WhitePaperPDF_May-9-2019.pdf
USA,,shardus,,"The foundation for global-scale decentralized applications. Shardus is building distributed ledger software to remedy the problems of traditional blockchains -- scalability, decentralization and efficiency. The technology being developed will use compute and state sharding to accommodate billions of daily active users, allowing for global-scale decentralized applications. The first application built with this technology will be a payment network and coin called Liberdus.",ULT,1st Jan 2019,31st Dec 2019,https://shardus.com,USA,https://shardus.com/Shardus_Whitepaper_20180816.pdf
USA,,shark trade,,"SHARK TRADE LLC is the world's leading automated earnings platform in the global cryptocurrency and stock exchange markets. Our company was founded in 2016 as a division of the group of companies STG Limited, which is directly involved in investment activities and attracting assets from private investors. SHARK TRADE LLC specialists have developed a unique trading strategy on the stock and cryptocurrency exchanges, allowing you to pay a guaranteed profit to our investors 24 hours a day, 7 days a week, 365 days a year!",SC,10th May 2019,20th Dec 2019,https://shark-coin.io,USA,https://shark-coin.io/wp/02_EN_shark_presentation.pdf
USA,,unicsystems-united crypto systems,0.23,"The United Crypto System is an unique Blockchain-based system that combines three key elements: UCS Gambling (Cryptocurrency Casino) UCS Dapps (Game Applications) UCS Bet (Sports Betting) Thus, the platform will provide access to the three most popular destinations in the niche, using a single cryptocurrency and wallet. In addition, the United Crypto System is an unique system, the first and only in the world, which will bring dividends to each investor",UCS,17th Dec 2019,31st Dec 2019,https://www.casinosinvest.com,USA,https://casinosinvest.com/whitepaper_casinos.pdf
USA,,vosai,,"VOSAI is a decentralized machine learning infrastructure with a simple API, powered by miners. The world's FIRST machine learning infrastructure where miners earn substantially more over all other cryptocurrencies because they actually perform machine learning instead of just validating a currency transaction! Leveraging the power of GPU-intensive mining rigs on the World Computer, VOSAI has the potential to be the most powerful computational network ever created.",VOSAI,25th Aug 2019,20th Dec 2019,https://vos.ai,USA,https://vos.ai/static/whitepapers/vosai-prospectus.pdf
