cat1,cat2,name,raised,desc,ticker,start,end,www,
Infrastructure,,bow,0.13,"The BOW Blockchain is the answer to the aspirations of the sector by giving concrete digital solutions to the different stakeholders, guaranteeing the goods’ authenticity, estimating value and rarity, making buying certificates easier, protecting the brands’ intellectual property, securing and anonymizing the payment system, and providing theft insurance. We decentralize, secure, and stock the data linked to the supply chain to guarantee transparency to the consumers and security to the brands. The project is being implemented in three stages. - An application for consumers allowing them to scan a product with their smartphone. The application will display all information related to the production of the product and will focus on environmental and fair trade aspects. - A software for companies that allows fashion professionals to manage their supply chain thanks to the Bow blockchain. - To democratize this application and software, what better way to have a concrete use case. The project also aims to create physical sales points to sell the patented creation in more than 20 countries in partnership with Swarovski, the Bowtie-Barber.",BT,15th Sep 2019,15th Nov 2019,http://bow-coin.io,France,https://bow-coin.io/documents/English/white-paper-bow-coin.pdf
Infrastructure,,gsc platform,1.32249,"The main source of expenses of companies is related about purchases and it is up to 80% of the total expenses. The current supply chain process is full of tedious and time consuming tasks for the purchasing department. The lack of transparency (parts certification-counterfeited parts), speed, security and automation lead to huge losses for companies and important delays in their sales, while jeopardize their customers safety. We provide to businesses a blockchain backed purchasing management software to bring them an easy way to handle their supply chain process. Businesses will be autonomous to improve their sale margins and secure their own data.",GSCP,25th Jan 2019,11th Feb 2019,https://gscplatform.io,https://www.gscplatform.io/documents/GSC_WhitePaper_EN.pdf
Infrastructure,,micars,,"MiCars has developed a luxury vehicle hiring platform without the constraints of a hiring agency. Hire Full Options vehicles 24/7 with MiCars using our intuitive application. With MiCars, your car hire becomes fast and easy. Forget about wasting time at hiring agencies and get driving your vehicle. Your car hiring experience has never been so easy.",MCR,12th Jan 2018,13th Feb 2018,https://www.micars.io,
Infrastructure,,safekeet,,"Based on blockchain technology, encrypted and entirely decentralized, SAFEKEET is the most secure space storage, and you are the only one that can access it! Thanks to Artificial Intelligence and optical character recognition, SAFEKEET automatically sorts your documents.",SKT,15th Jan 2018,31st Mar 2018,https://safekeet.io,https://safekeet.io/theme/pdf/white-paper-en.pdf
Internet,,bitecoin network,,"A large food delivery service network combined with power of the blockchain - That is BiteCoin in a nutshell. The world's first crypto-backed decentralized food delivery network. On-demand food delivery regular customer complaints - delayed delivery to cold and/or wrong food. With BiteCoin, no need for customer support tickets anymore. Yes, that is right - instant and automatic refund if your food doesn't arrive in time by fully enforced smart contracts. Even with an estimated 25%-30% standard market rate commission, most most businesses are on a bleeding edge. With BiteCoin, a paradigm shift in terms of network and fleet management efficiency by introducing artificial intelligence (AI) and machine learning (ML) on-the-blockchain. Route optimization, Model-Predictive and Fault-Tolerant Controls are implemented.",BiteCoin,12th Jul 2018,30th Aug 2018,https://bitecoin.network,https://bitecoin.network/kbase/BiteCoin-Whitepaper-V2-1.pdf
Internet,,rockchain,,"Rockchain is building a data processing infrastructure for the Ethereum Blockchain. Rockchain doesn't move any data: it distributes the data intelligence to the data. Any computation, static data or stream, is dealt with in accordance to detailed privacy requirements maintained on Ethereum.",ROK,1st Nov 2017,1st Dec 2017,https://www.rockchain.org,
Internet,,stacktical,1.17,"Stacktical is a platform for deploying Service Level Agreements on the Blockchain. They help online businesses improve the reliability of their services and automatically compensate customers for slowdowns, downtimes and unresponsive customer support.",DSLA,15th Jan 2019,31st Mar 2019,https://stacktical.com/home,France,https://storage.googleapis.com/stacktical-public/STACKTICAL_DSLA-WHITE-PAPER.pdf
Investment,,labstart,,"Today, innovation is at the heart of our societies. Some major society challenges such as ecology, overcrowding, or else decentralization appeal to the capacity of our societies to find innovative solutions that will help solve these issues. Yet it is currently very hard for an individual to get directly involved in an innovative project. Considering the importance of the innovative impact on our life now and in the future, we think that anyone must have the opportunity to get involved in this process, and at every level of responsibilities. LabStart is a blockchain-based investment platform. We facilitate your access to investment for innovation project, by bypassing intermediaries. LabCoins are tokens created on the ethereum network. They are used to invest in the innovation projects presented on the LabStart Platform.",LAB,24th May 2018,23rd Jun 2018,https://labstart.tech,
Platform,,blockchain.io,1.5,Built on Paymium’s proven security and technological record. A high level of digital asset protection and safe record of transactions.Built on fair-exchange protocols enabling cryptocurrency atomic swaps to mitigate counter-part risk.Advisory and technology services to execute third-party ICOs. New listing and market making services to foster enhanced token liquidity.,BCIO,27th Sep 2018,25th Oct 2018,https://blockchain.io/token-sale&utm_campaign=icolisting,https://blockchain.io/wp-content/uploads/2018/05/BCIO_Manifesto.pdf
Platform,,blockfood,,"BlockFood is a non-profit decentralized food ordering platform, based on Smart Contracts. Fairer sharing economy. Smarter platform. Social equity. Join our community and help us reach our pre-sale goal!",BFT Token,8th Mar 2018,12th Apr 2018,https://blockfood.io,
Platform,,dether,12.1173,"Dether provides a decentralized peer-to-peer ether network that enables anyone on Earth to buy ether with cash and spend it at physical stores nearby. No bank account is needed, just a mobile phone with internet access. Our belief is that the beauty and power of the Ethereum technology should be easily accessible to all. We’ve decided to put all of our energy and that of the Ethereum community into helping us build the first trustless solution that will allow anyone to be able to interact with the Ethereum blockchain no matter who you are, where you are, and without the need for a middleman.",ÐTH,7th Feb 2018,9th Feb 2018,https://dether.io,
Platform,,domraider,45,"DomRaider is launching its token, the DRT, to finance its growth and to propel its blockchain auctions onto a worldwide sphere.",DRT,12th Sep 2017,9th Oct 2017,https://www.domraider.io/en,
Platform,,fashion coin,,"Fashion Coin (FSHN) is a purely peer-2-peer version of electronic cash for Generation Z. Based on creativity, game theory and steganography+cryptography, Fashion Coin provides seamless and effortless online payments - with maximum speed and limitless scale. Fashion Coin enables the customer to add value and issue coins on the Proof-of-Love DApp. Creativity leads to capital, credit, surplus, and even crowdfunding.",FSHN,2nd May 2019,20th Jun 2019,https://coin.fashion/#section1,France,https://coin.fashion/storage/Fashion%20Coin%20Whitepaper%20[EN]%20.pdf
Platform,,iex.ec,12,"With the platform, iEx.ec aims to provide blockchain based distributed applications a scalable, secure and easy access to the computing resources required for their execution. It uses the blockchain to organize a market network where everyone can monetize their servers, applications, and data-sets. This technology extends the Ethereum smart contracts allowing the creation of virtual Cloud infrastructure that provides High-Performance Computing (HPC) services on-demand.",RLC,19th Apr 2017,19th Apr 2017,http://iex.ec,
Platform,,istrium,,"Istrium is a free, simple and intuitive blockchains generator. With Istrium, individuals and organisations can easily create blockchains allowing them: To dispose of their customised cryptocurrency and; To store data in a secure, decentralised and tamper-proof environment.",ISM,21st Jun 2018,19th Aug 2018,https://istrium.com,https://istrium.com/files/whitepaper
Platform,,kryll.io,2.2,"Kryll.io is your first intuitive platform to define powerful crypto trading strategies through a simple drag’n’drop editor. Create automated winning strategies, benchmark them, share with the community, enjoy user-generated content… The revolution is here, don’t trade your life away.",KRL,7th Feb 2018,20th Apr 2018,https://kryll.io,
Platform,,meetip,3.226597,"MeeTip is a cryptocurrency that will be used into OutMySphere in order to offer drinks to your soulmate or to your friends and tip the employee of your choice. OutMySphere is a mobile app allowing to know instantly the crowd in bars, restaurants, nightclubs, coffees, casinos and fitness gyms. With this app, you will see who is in each establishment and you will be able to interact with them.",MTIP,17th Nov 2017,15th Dec 2017,https://meetip.io,
Platform,,modulum,,"Modulum is the first IoT device to provide an interface between the real world and blockchains. Thanks to its patented modular design, turn your idea into a reality without the tedious steps of hardware design or driver and OS development. Assemble the Modulum that fits your needs: pick from a variety of processing powers, sensors, communication protocols, power requirements... Develop your custom application then deploy your devices with native blockchains support. Our goal is to create a new ecosystem based around MDL tokens and its community: users, services, add-ons & design creators, renters, resellers, legal, bounties/contests, etc. Many exciting services and applications will emerge such as the rental of Modulum devices or data through MDL tokens, asset tracking, monitoring and predictive maintenance, and much more.",MDL,22nd Nov 2017,13th Dec 2017,https://modulum.io,https://modulum.io/whitepaper-modulum-en.pdf
Platform,,money by design,,"The Money by Design Blockchain is monetary software that allows people to produce and manage their own tokens. It offers users extended features that increase the uses that can currently be made from a currency. In short, we offer the opportunity to invest in the first digital currency that is dedicated to smart tokenization services customized for banking, insurance, and business and institution functions.",GTK,1st Sep 2018,31st Jan 2019,https://moneybydesign.io,https://moneybydesign.io/wp-content/uploads/2018/03/MoneyByDesign-WhitePaper_01March2018.pdf
Platform,,napoleon x,12.3,NaPoleonX is the first 100% algorithmic crypto asset manager. It has been designed by ex multi-billions asset managers specifically to holders of cryptos who are looking for a return on their savings.,NPX,22nd Jan 2018,28th Feb 2018,https://www.napoleonx.ai,
Platform,,origami network,0.228197,"Today’s evolving blockchain technology allows companies to run marketplaces (B2C or B2B) for faster and cheaper than ever. But there are still problems with the current atmosphere. For one, the speed and cost by which online marketplaces are developed and run can be improved. Secondly, at this moment in time escrow payments are still very expensive and far from accepting crypto-currency as payments. Lastly, the review process for online marketplaces contain several major flaws that must be addressed before marketplaces can be truly decentralized. Origami Network is an all-in-one decentralized marketplace platform that solves several existing problems related to online marketplace development and maintenance, escrow payments, and reviews. The Origami Network has a working product and several customers already on board benefitting from its technology. The Origami Network is based on three self-sufficient platforms: o Origami Marketplace o Origami Payment, and o Origami Review.",ORI,23rd Feb 2018,26th Mar 2018,http://ori.network,
Platform,,sgat,,"SGAT is an IT consulting and development firm providing solutions based on blockchain technologies and smart-contracts. We offer an autonomous data storage, transfer and certification environment, as well as business relationship automation tools and services, through blockchain and smart-contract solutions.",SGAT,8th Nov 2018,30th Dec 2018,https://www.sgat-technologies.com,https://www.sgat-technologies.com/frontend/pdf/WHITE_PAPER_EN.pdf
Platform,,startaround,,"startAround is the only cryptocurrency- based startup marketplace that offers transparency to all startup ecosystem actors who want to exchange goods, services and funds in an era of overflow of information, pressure of time and variety of choice. The startAround marketplace is where startups, corporations, investors and service providers meet to exchange products, services and funds through top security blockchain-based smart contracts. Each member could buy and sell products and services. They could also invest in any company marked as open for investments. All transactions are made in full security via the SAT token.",SAT token,20th Dec 2017,20th Jan 2018,https://www.startaround.co,https://drive.google.com/file/d/0B-rQRRlkA3dvQTRkNnNIUXptbGs/view?usp=drive_open
Real estate,,bopti,,"Bopti coin is the first Blockchain application dedicated to the construction industry. Following the successful introduction 6 years ago of its productivity software, Batopti has decided to leverage the potential of Blockchain technology to develop a global community of construction professionals. After completing its first round of investments earlier this year through the involvement of a leading insurance company. Bopti is launching its ICO on November 10th 2017.",BOPTI,10th Nov 2017,10th Dec 2017,http://bopti.io,
Smart Contract,,talao,2.347581,"Talao is the first Ethereum-based protocol and DAO for talent. Talao introduces a unique protocol for users to own their data thanks to a secure digital vault storing their certificates on the blockchain. Talao provides add a decentralized marketplace, governed by talent, on which neither intermediaries nor commissions apply.",TALAO,4th Jul 2018,29th Jul 2018,https://ico.talao.io,http://ico.talao.io/wp-content/uploads/dlm_uploads/2018/03/Talao.io-White-Paper-V-1.0.pdf
Software,,beyond the void,0.291956,The Nexium ICO has two main purposes: Fund the game’s development and get the Nexium tokens circulating to allow the players to purchase from the shop (the shop only currency will be Nexiums).,NxC,1st Nov 2016,30th Nov 2016,https://beyond-the-void.net,
