cat1,cat2,name,raised,desc,ticker,start,end,www,,
Banking,,alendoo,,"Alendoo’s main mission is to keep their customers anonymity, to do so they’ve had to ‘think outside the box’ to fulfil its existing promises to customers and find a way to extend their offering by adding loans paid out in FIATs. An innovative solution has been selected for this issue. Alendoo decided to design an NFC mobile application that will be loaded with cryptocurrencies and without the need to register a debit or credit card. The design of an NFC application and creating the right infrastructure for the entire process will require large funding. Alendoo cannot handle this project independently, which is why this investment opportunity is now available. The company has made plans to launch an Initial Coin Offering for their token - the Alendoo coin (XAL). XAL will serve essential complex purposes due to its properties as utility coin.",XALT,1st Apr 2019,12th May 2019,https://alendoo.io,UK,https://alendoo.io/assets/Alendoo-Whitepaper.pdf
Banking,,baanx.com,7.5,"Baanx has a lending site, an OTC Exchange and Secure Wallet. We are launching: - Mobile Cryptobank App (see baanx.com for the prototype) - Wallet insurance - Cryptopay - Exchange integration to give users the best prices always - Custody Solution to safely store large amounts of crypto in cold storage Post-launch Baanx allows partners to issue our technology with their name on it as well to increase our users, they can also share our bank licenses. Ultimately, using smart contracts, AI and automation we will develop the platform further to allow users to become owners and launch their own Cryptobanks - with all back office needs managed for them all they will need to do is market to users, and watch their Bank grow. Changing the banking world forever. The Baanx BXX token is used in all functions, from payments, transaction and exchange integration fees - lending and investments. Loyalty bonus tokens will be issued to those holding tokens long term - in order to reward supporters.",BAANX,1st Sep 2018,31st Oct 2018,https://baanx.com,UK,https://wallet.baanx.com/docs/whitepaper-en-1527176250.pdf
Banking,,babb,20.0,"BABB will empower the microeconomy, improving lives and livelihoods and creating new opportunities for individuals and businesses across the world.",BAX,6th Feb 2018,6th Mar 2018,https://getbabb.com,UK,https://getbabb.com/babb-whitepaper.pdf
Banking,,bank4you,8.11855,"Mobile Money Remittance System - first convergence of cryptocurrencies with mobile network operator’s accounts based on blockchain. The Bank4YOU Group’s own, unique card solutions come packed with a range of state of the art mobile banking services. In addition, easy-to-use mobile Bank4You app at no charge, created by a team of highly-skilled and vastly experienced fin-tech specialists can be downloaded at App Store and Play Market.",BFY,6th Nov 2017,31st Mar 2018,http://bank4you.io,UK,https://www.bank4you.io/docs/Bank4YOU_MMRS_WP_EN.pdf
Banking,,bitmillex,,"Designed to be the world’s most secure and complete cryptocurrency exchange, Bitmillex is developed by experienced traders and experts in cybersecurity and the use of blockchain financial solutions, to create customized and tangible solutions to the demands of various categories of traders and investors; and aggregate these solutions into a most unique and extra-ordinary trading platform.",BTML,27th Jun 2018,4th Oct 2018,http://bitmillex.com,UK,https://bitmillex.com/pdf/whitepaperv2.pdf
Banking,,bittrace,,"A decentralized solution to money would entail transparency immutability, high availability and security in addition to being programmable. Further more a globally accessible price stable cryptocurrency has tremendous value in countries with hyper inflation. Getting into bittrace it is an platform to enjoy a new digital currency which deals with less fluctuation and maximum stability. It even provides low transaction fees. While this is true sentiment the same can be said of bitcoin and etherum. Why buy digital gold when one can buy physical gold? The reason why is due to the allure of decentralization. There has never been a time in history . where strangers could trust each other especially with regards to money. This payment service enables you to provide efficient support makes payment and money transfer procedures efficient and simple day-to-day transactions and cash management.",BTRC,1st Dec 2018,15th Apr 2019,https://bittrace.tech,UK,https://bittrace.tech/BITTRACEWHITEPAPER.pdf
Banking,,blockbank,12.52,"Block Bank is a a digital decentralized commercial banking entity. The Block Bank concept is a digital funding platform designed to serve human needs rather than profits alone. The platform will operate automatically online opening up low cost commercial products to previously unreachable markets. With an International presence online, the digital delivery system will allow commercial entities to apply from anywhere in the world. Our vision is to expand and simplify the current financial system by using a new progressive technology to create a more inclusive system that allows people to access credits without huge taxes.",BBRT,28th Feb 2018,1st Jun 2018,http://theblock-bank.com,UK,https://theblock-bank.com/pdf/blockbank_whitepaper.pdf
Banking,,bqt,37.0,"BQT P2P Exchange Platform provides secure, interactive and flexible trading environment and user-friendly interface for its community to manage various types of transactions consisting of many crypto assets in traders portfolios. BQT introducing the revolutionary approach allowing traders to leverage their crypto holdings to acquire crypto assets from other peer traders. Unlike Margins and Futures Trading, BQT Hedge Trade system is a flexible method for Traders of acquiring crypto assets from other peers for a short-term period by means of escrow of their existing crypto holdings and still maintaining its ownership for a term of the trade. BQT platform allows traders globally to securely post their trade terms on exchange and negotiate their crypto trades directly interacting with each other and sharing their experience with the community.",BQTX,18th Sep 2018,18th Mar 2019,https://bqt.io,UK,https://bqt.io/assets/pdf/whitepaper.pdf
Banking,,brotherly,,"BrotherlyLend Platform backend by Brocoin, Brotherlylend is the new innovative and revolutionary secured lending platform, which allows everyday people with investments in cryptocurrency to take out loans using cryptocurrency as secured assets. The Platform providers loan in fiat currencies from around the word-holding user’s cryptocurrency for them as collateral in a secure wallet. While your average wallet just keeps user’s cryptocurrency on their behalf BrotherlyLend gives, the opportunity to take out loans 0% Interest. Once the loaned sum is repaired, we will release funds for users or they can take our another loan.",BRC,1st Sep 2018,30th Sep 2018,https://www.brotherlylend.com,UK,https://www.brotherlylend.com/assets/files/white-paper.pdf
Banking,,cashaa,18.53,"Cashaa built its infrastructure on the blockchain and utilizes artificial intelligence to power mainstream adoption for financial products. It empowers the banked and unbanked population, facilitates low cost currency exchanges, enables participation in the global economy and develops the new outlook for this community by using open architecture. Instead of rebuilding or riding on the rails of archaic banking infrastructure, we built Cashaa to allow consumer adoption of cryptocurrencies, which let people move money as they wish at low cost and high speed, without having to understand the technical details of crypto and blockchain technology, thereby making it user friendly, secure, and affordable.",CAS,6th Nov 2017,6th Dec 2017,https://cashaa.com/cas-token.php,UK,https://cashaa.com/pdf/Cashaa_WP.pdf
