cat1,cat2,name,raised,desc,ticker,start,end,www,,
Business services,,iac autounit,10.690364,"International Auto Club (IAC) is an automated platform bringing together the best features of payment systems, cashback services and partnership programs. IAC is not a start-up and it’s ready to develop business in other countries. The corporation transfers all internal payments to the blockchain using internal currency called AutoUnit. This is a system of mutual settlements that allows to increase the level of transparency and financial security of all registered users, to avoid system centralization and users dependency on the corporation, to accelerate development and to increase the turnover of enterprises that joined the platform. AutoUnit is a blockchain-certificate for purchasing goods and services placed on the IAC platform and offered by partner enterprises. The certificate provides all mutual settlements between IAC and goods and services suppliers as directed by the users.",AutoToken (ATK),26th Mar 2018,22nd Jul 2018,https://www.auto-club.io/en,Russia,https://drive.google.com/file/d/1nEc4QQlWoKm_OqupIjQ_qrDra_E7lQxX/view
Business services,,kyc.legal,28,Service that allows to verify users and to prevent fraud. It is based on blockchain technology as a tool for protecting and validating personal data of Internet users.,KYC,29th Nov 2017,1st Apr 2018,https://kyc.legal,,
Business services,,mito,,First token based on the DAO IPCI Protocol scaling up green economy and environmental assets trade.,MITO,11th Sep 2017,31st Oct 2017,https://mito.ipci.io,,
Business services,,multibot,0.75,"Multibot platform is aimed at solving the problem of user interaction with cryptocurrency exchanges and continuous monitoring of the market, at the maximum number of trading platforms. Based on and using the advantages of the SaaS model, the platform is designed to lower the threshold of entry into the exchange trade in cryptocurrencies. Automated tools that do not require installation, with an intuitive interface and working 24/7 in the web-cloud will provide protection and capital turnover, eliminate manual labor and take advantage of the volatility of the cryptocurrency for profit. Unlike other existing tools, it accumulates a maximum set of tools and services. The platform allows you to start using a few simple steps, regardless of the availability of hardware and other software, since it is available from anywhere in the world, with predefined settings and tools for successfully solving the main tasks.",MBT,20th Oct 2017,26th Nov 2017,https://multibot.io,,
Business services,,patriot,,"Patriot mall represent classic development intention. Construction process already in progress, it has physical address and construction area. Company planning to put Mall into operation within 12 months after necessary funds will be collected. To found more information you can read our White Paper. To share your feedback or your wishes please follow our official social media.",PPMT,5th Jan 2018,5th Feb 2018,https://crypto-patriot.io,Russia,https://crypto-patriot.io/assets/whitepaper_en.pdf
Business services,,smarto,,"SmartO is a project aimed at creating a versatile mobile app that will organize your schedule, make your life more comfortable, easy and fulfill the eternal dream of millions of people: gaining regular profit without any efforts. SmartO analyses data from thousands of sources non-stop: other applications, geoinformation systems, solves optimization issues with a single aim — to provide the user with the optimal itinerary to solve all the objectives with maximum efficiency.",STO,15th May 2018,29th Aug 2018,http://www.smarto.im/en,Russia,http://www.smarto.im/images/docs/wp-eng.pdf
Business services,,tensorbox,,"We are a group of “quants” with an academic background in Numerical Methods, Computational Mathematics, Game Theory and hands-on experience in High-Frequency Trading and Machine Learning.",TBX,2nd Oct 2017,16th Oct 2017,http://tensorbox.com,Russia,http://www.tensorbox.com/TensorBox%20WP%20v0.9.pdf
Business services,,thecryptowatch,,"The first hardware Crypto Wallet Watch Convenient app for working with your wallet. Transfer only with confirmation. The device is based on reliable security features for storing cryptographic assets and supporting digital payments. Secure Element (SE) is a protection against unauthorized interference. The chip has been developed to withstand complex attacks and is able to reliably protect the hosting of apps and their confidential and cryptographic data. SEs are usually used in credit cards, SIM cards, or ID cards. CWOS– the most reliable operating system in the world. Support of 85 coins + any ERC-20 token. Design We pay great attention to design. There are 4 models available currently. By the end of STO, we will show all possible color and strap options. You will be able to choose the model you like. Own DEX Decentralised exchanges are the inevitable future. We plan to develop our own DEX. You will be able to trade with any coin directly in our app, without worrying about security issues. theCryptoWatch Production in China Our partner is a reputable manufacturer in China. What does an investor get? XCW – Utility Security Gibrid Token Utility – You can buy watch with a token. The watch costs 400 XCW. Security – token is also a security that provides you with the right to receive dividends. At the beginning, the watch will only be sold for tokens. Then it will be possible to purchase it using ordinary money (fiat and cryptocurrency). Thus, we will provide dividends for all our investors. We will also ensure the buy-back of tokens through sales. Issue: 10 000 000 XCW 1 round - 1 xcw = 0,0002 eth 2 round - 1 xcw = 0,0004 eth 3 round - 1 xcw = 0,001 eth",XCW,20th Sep 2019,20th Nov 2019,https://thecryptowatch.org/en,Russia,https://thecryptowatch.org/en/white-paper/
Business services,,ukit,2.5,"uKit AI 1.0 – the generative design service. The service uses a combination of neural networks and regular algorithms to search for new ways to arrange content and visualize website pages. It then puts everything together by using HTML and CSS coding to create a ready-to-use, adaptive front end. In the next version (uKit AI 2.0.), the service will generate multiple options of a single page to suit di erent audiences, based on the data sets from uData. These multiple design versions will form a dynamic landing page. We are bringing together all tools necessary for personalizing any website for different audiences within one cloud-based platform. With its release, both sides of the market will get what they want: any website owner will be able to increase conversion rates with the help of AI technologies, while website visitors will enjoy the convenience of personalized web pages.",UKT,19th Feb 2018,1st May 2018,https://ico.ukit.com,,
Business services,,united traders,32,"United Traders is a modern investment and financial company. Its core consists of professional traders and programmers who develop unique software for trading on the equities markets. UT is providing a wide range of services for investors in its special marketplace where everybody can choose strategies on stocks, currencies and digital assets. Multi-market Aurora platform is our flagship product, it already allows thousands of traders to get access to largest exchanges. UT is entering Crypto Community with project UTExchange, wherе it will offer unique smart-route technology to solve liquidity problems on markets.",UTT,30th Nov 2017,24th Dec 2017,https://uttoken.io/?utm_source=calendar_ico&utm_medium=open_link&utm_campaign=ico_campaign&utm_content=open_link_icobench,,
