cat1,cat2,name,raised,desc,ticker,start,end,www,,
Banking,,bitex,,"Bitex’s crypto-banking services include: Customer care, user experience and governance that is localized; *An ERC-20 compatible digital wallet for securely storing a customer’s cryptocurrency balances on a personal mobile device; *The ability for using the mobile wallet with a virtual debit card for payments, exchanges and transfers; Confidential and Proprietary. Bitex Global Co., Ltd., BitX Global Pte. Ltd. 2 Various Point of Sale solutions (both hardware and software based) for merchants to accept payments in their local currency from consumers; *Currency exchanges between the G20 fiat currencies and various popular cryptocurrencies; *Large-scale business-to-business payments; *Personal loans.",XBX,10th Sep 2018,20th Sep 2018,https://ico.bitex.global,Singapore,https://ico.bitex.global/docs/XBX-Token-WhitePaper.pdf
Banking,,cazplus,,"We are a dynamic team of technology believers and geeks, focused on uniting modern-day technologies to build sustainable business entities. Caz project is a result of meticulous research and development aimed to create an environment, an eco-system where everything supports each other and sustain as a whole. Caz Eco-system has various products and services such as E-commerce marketplace, payments gateway, crypto currency exchange etc. We are using a combination of Blockchain, Fintech and AI technologies to improve profitability and to better deliver convenience, selection, data privacy and personalization to our customers.",CAZPLUS,15th Sep 2019,25th Oct 2019,https://www.cazplus.com,Singapore,https://www.cazplus.com/pdfs/CazPlus%20WP.pdf
Banking,,davorcoinx,,"DAVORX that uses the Ethereum Blockchain database is not controlled by a party, but is so open to the public that it is impossible for someone to forge transactions in Blockchain. All transactions are recorded live, transparent, and spread across multiple servers. Those who want to change or falsify DAVORX transaction data must hack multiple servers at the same time.",DAVX,15th Jul 2019,14th Aug 2019,https://www.davorx.com,Singapore,https://davorx.com/assets/images/davor_white_paper.pdf
Banking,,dcc,8.205382,"Distributed Credit Chain is the world’s first distributed banking public chain with a goal to establish a decentralized ecosystem for financial service providers around the world. By beginning in the credit industry, DCC’s mission is to realize true inclusive finance through a distributed banking ecosystem.",DCC,28th May 2018,29th May 2018,http://dcc.finance,Singapore,http://www.dcc.finance/file/DCCwhitepaper.pdf
Banking,,dcoin,82.296049,"-- The D'Coin™ (DCO) Token ICO will power our mobile application – the D'Crypt™ Analysis Platform, all at your fingertips™. -- With the myriad of new altcoins, exchanges, and the ever-evolving cryptocurrency ecosphere, a simple solution must emerge – D'Crypt™ – for simplified, intuitive analysis™. -- D'Crypt™ will analyze various infostreams using semantic, sentimental algorithms to properly gauge the best 3, 5, or 10 altcoins, exchanges, and newsfeeds to trade with that day. D'Coin™ will purchase D'Crypt's analysis services using the DCO Token. -- The D'Coin™ DCO Token is a utility token based on the Ethereum ERC-20 standard with many benefits, including the use of ERC-20 smart contracts and secure Ethereum wallets. --",DCO,10th May 2018,30th Jun 2018,https://www.dcoinico.io,Singapore,https://www.dcoinico.io/whitepaper/whitepaper.pdf
Banking,,dropdeck,4.2,"DropDeck is a royalty and debt financing platform for fast growing businesses with a pure smart-contract and token-incentivized mechanism to evaluate and fund businesses worldwide. DropDeck's “INCENTIVE SYSTEM” based on smart contracts and the Decentralized DropDeck Token (DDD) enables a perfect combination of Online - Offline, Onchain - Offchain, Machine - Man elements to break all barriers in-between, minimize risk, and maximize benefits for all token holders",DDD,21st Nov 2017,21st Dec 2017,https://dropdeck.io,,
Banking,,electron world money,,"An independent financial platform on which all existing financial systems will be built, payments, payments for various services, transfer of funds between different accounts of different banks with a minimum commission within the EWM network",EWM,28th Jan 2018,4th Feb 2018,http://www.ewm.network,Singapore,http://ewm.network/assets/pdf/Whitepapper_EN.pdf
Banking,,eternal trusts,,"Eternal Trusts is the world's first fiduciary crypto protocol for creating decentralized apps that securely administer crypto assets through collective decision-making. Eternal Trusts Protocol replicates the traditional ""purpose trust"" framework with crypto technologies, making it flexible, transparent, and affordable for the end user. The ET Protocol is open to any business owner, financial service provider, trustee, or family office interested in accepting cryptocurrencies, integrating blockchain into its business processes, and offering a brand new model of trusted asset administration to their clients. ET Protocol is powered by EOS.IO, one of the fastest blockchain protocols with low transaction fees, and Hyperledger by IBM.",ETT,1st Jun 2018,1st Oct 2018,https://eternaltrusts.io/token,Singapore,https://eternaltrusts.com/docs/wpen.pdf
Banking,,everex,26.7,Everex is a young technology startup in the Blockchain space with both a team and a business-model uniquely qualified to answer some of the challenges of international microfinancing.,EVX,24th Jul 2017,31st Aug 2017,https://www.everex.io,,
Banking,,extradecoin,1.739528,"Extradecoin is a cryptocurrency trading platform. Investors can trade crypto-crypto on the exchange. Extradecoin is established with the desire to provide quality, reliable and safety financial platform for investors. In addition, we are eager to bring the latest technology platforms with the best UI experience on the Extradecoin platform, and at the same time build ecosystems to maximize the benefits for the community.",ETE,15th Sep 2018,15th Oct 2018,https://extradecoin.com,Singapore,https://drive.google.com/open?id=1m8pfxTT5WmQa5uqPEFypdLqzZ48A-D-e
Banking,,fusion,108.394802,"FUSION is a crypto finance platform that integrates the values of multiple blockchains/tokens onto a single system through the management and control of multiple token private keys, and the creation of an interface for centralized organizations and off-chain data sources.",FSN,1st Feb 2018,10th Feb 2018,https://www.fusion.org,,
