cat1,cat2,name,raised,desc,ticker,start,end,www,,
Cryptocurrency,,iconiq holding,1.7367,"Iconiq Holding is building the premier digital-asset management ecosystem, creating trusted financial vehicles and business opportunities for investors in the blockchain market driven by the ICNQ token. The ICNQ Token powers the ICNQ ecosystem, creating a harmonic solution to digital asset management. Holders of the token gain exclusive membership to the ICO investment club and fund share classes, available through Iconiq Lab and Iconiq Funds. Additionally, the token is redeemable as a voucher by holders for discounts on ecosystem services.",ICNQ,1st Nov 2018,1st Dec 2018,https://iconiqlab.com,Germany,https://iconiqlab.com/icnq-white-paper
Cryptocurrency,,iconiq lab,1.7367,"Iconiq Lab is an Initial Coin Offer and Token Launch accelerator program. We source, fund, develop and accelerate the best crypto, blockchain and tokenizable startups to their own ICO or Token Sale. We help launch tokens supported by real-world, sustainable business solutions.",ICNQ,,,https://iconiqlab.com,,
Cryptocurrency,,jibbit,0.92,"Jibbit creates an ecosystem network to connect the worldwide cannabis community with the crypto world (200m +). A world to make the cannabis market completely independent of the financial system and its influences. By making use of the Blockchain technology, we demonstrate the value of this revolutionary movement of the crypto-community and how we can make the world a little better. Be there today to help making the crypto world accessible to the masses. Give the power back to the people!",JIB,1st Nov 2018,15th Mar 2019,https://jibbit.io,Germany,https://jibbit.io/whitepaper
Cryptocurrency,,loopx,,"WHAT IS LOOPX The LoopX Team was formed in September 2016 of a core group of high performance professionals to build a new kind of trading software based on our own Loop-Algorithm. After testing our algorithm thoroughly over half a year with great profits continuously every month, we can now finally bring all this advantages of our LoopX – Trading Software to the public. We are here to help you make money in the emerging market of cryptocurrencies which is projected to grow up to 10 times the size of now until the next year. The LoopX System gives you guaranteed profits every week thanks to the most advanced Trading Software out there to date! We do not make daily payments since we consider that the margins are smaller. For us the priority is the safety of your investment. It took us little bit over a year to bring you the final product so you can benefit from the most advanced technology too.",LPX,10th Jan 2018,30th Jan 2018,https://www.loopx.io,Germany,https://www.loopx.io/media/loopx_whitepaper.pdf
Cryptocurrency,,lsd,,"The oldest profession in the world, prostitution, with a publicly estimated annual turnover of $186 billion dollars, has many fundamental problems that have led to an overall very difficult public image. LSD will change the future of prostitution and bury the moral reprehensibility of prostitution once and for all. In addition, LSD will bring the adult sector as a whole up to the necessary technical standards of the 21st century and provide a global, secure, and private currency for all activities and services related to the porn, sex, and the adult industry as a whole.",LSD,17th Mar 2018,3rd Jul 2018,https://lsdtoken.io,,
Cryptocurrency,,multichainexchange,5,"First decentralized exchange, built on multichain technology, beloning to community distributes 100% of profit to its users project. This Is cryptocurrency exchange, which aims to rethink the economy of sharing, combining the power of the MultiChain protocol and decentralization. It will allow the exchange of tokens issued on different blockchain platforms through one decentralized exchange supporting smart contracts of various blockchain platforms and interaction between them due to the MultiChain protocol.",MCE,20th Aug 2018,20th Nov 2018,https://multichainexchange.io,Germany,https://multichainexchange.io/wp-content/uploads/2018/08/white-paper.pdf
Cryptocurrency,,nonecoin,0.3,"The NONECoin platform is a decentralized self-evolving cryptocurrency that is built on Trust Contracts and an embedded decision making system called the Congress Network. Trust Contracts are securely executable contracts based on a protocol layer called Owlchain, which consists of the Web Ontology anguage and the Timed Automata Language. Trust Contracts aim to overcome the issues regarding non-decidable smart contracts by using a more contained and comprehensible programming framework which provides secure and decidable transactions of contracts. The Congress Network is the decision making ody in the NONECoin platform which solves governance issues arising in decentralized organizations. Through a clearly defined and automated governance system, we aim to continuously develop the community and software into a more anti-fragile ecosystem.",NCO,14th Jul 2018,28th Aug 2018,https://nonecoin.com,Germany,https://nonecoin.com/NONECoinWhitePaper.pdf
Cryptocurrency,,novalend,,"NovaLend aims at transforming the banking system to make credits more affordable and investing more rewarding. We operate a decentralized lending platform developed by experts in the industry. We have 3 Core Values which are Security, Trust & Sustainability. We believe in endless opportunities as we are fully prepared to establish new standards in this young and thriving industry. On this platform, the blockchain technology is employed for trading to give users and investors a seamless trading and investing experience.Our decentralized platform removes third party involvement thus allowing absolute transparency in deals carried out between investors. We utilize the Ethereum blockchain which allows other developers to join- in seamlessly without any hiccups. All NovaLend wallet versions will be fully updated to provide customers with secured wallets and seamless trading on the world exchange.",NLC,29th Jan 2018,20th Mar 2018,https://novalend.co,,
Cryptocurrency,,ojooo,7.5,"The Ojooo platform is a unique place the advertisers and the advertising addressees from all over the World meet, all interested in various goods or services. The common basis for all Ojooo services is an innovative form of advertisement - the Earn per View Online and Mobile Advertising (EPV) from Ojooo. Ojooo offers companies advertising space and user data through the Ojooo app, as well as the Ojooo portal, based on blockchain technology.",OJX,14th Sep 2018,25th Oct 2018,https://ico.ojooo.com,Germany,https://ico.ojooo.com/index.php?o=whitepaper
Cryptocurrency,,shamrock,,"The decentralized shamrock lottery platform brings a complete transparency for organising and conducting a lottery using the blockchain technology.",LUCK,5th Dec 2018,5th Mar 2019,https://shamrock-lottery.com,Germany,https://shamrock-lottery.com/wp-content/uploads/2018/11/Shamrock-Whitepaper-2018.pdf
Cryptocurrency,,strykz,,"We tokenize fantasy sports, starting with football and our existing platform Football-Stars. Our vision is to bring sports fans all over the world as close to the real action as they can get. Our award winning platform Football-Stars will expand into being a community driven platform, with the STRYKZ token serving as an incentive for users to generate large parts of the content. This will be a self-reinforcing loop: Users will be rewarded with STRYKZ for contributing either content or to the growth of its community and can spend the token on various features and real life football merchandise. Additionally, the users can use their STRYKZ to play user-generated token-based challenges and earn even more STRYKZ. Though Football-Stars platform is not just an engaging online fantasy gaming experience; it can also be offered as a “Platform as a Service” that is adaptable to almost any market or language. By licensing out our platform, businesses can save up to 70% in development costs.",STRY,29th Jun 2018,29th Jul 2018,https://www.strykz.io,Germany,https://s3.eu-central-1.amazonaws.com/strykz-ico/STRYKZ_Whitepaper.pdf
Cryptocurrency,,tixl,1.25,"Tixl is a new privacy coin that allows instant and zero-fee transactions. None of the popular cryptocurrencies allows private, instant and zero-fee transactions at the same time. But why is that a problem? - In a world heading more and more towards digital currencies, we must secure that the essential properties of traditional money preserve. Nobody, neither governments or companies nor private people want the public to be able to look into their monetary transactions. - All users of a digital currency wish to pay as low fees as possible, the higher the fee, the lower the potential for widespread usage. - If a future currency is slow in terms of transaction speed, it’s not a future currency. Our Solution: We use the most sophisticated technologies emerged from the blockchain world of the past years. - A Directed Acyclic Graph (DAG) data structure together with the Stellar Consensus Protocol (SCP) to support fast transactions. - Zero-knowledge proofs with a commitment scheme to e",MTXLT,17th Jul 2019,28th Aug 2019,https://tixl.me,Germany,https://tixl.me/docs/Tixl-Whitepaper-Version-8_91kxz.pdf
Cryptocurrency,,travelertoken,,"TravelerToken is a Blockchain-based infrastructure and payment system for the tourism industry minimizing costs for customers and maximizing profits for providers. Our mission is to bring together the leading travel and tourism companies, universities, and the open-source community to create a shared technical and economic infrastructure which is not even limited to the travel industry but open for all, to reduce costs in each place.",TLT,1st Dec 2018,22nd Dec 2018,https://www.travelertoken.com,Germany,https://bucketeer-0db15d94-bc6c-4d48-a12e-f5ac5f2331fd.s3.amazonaws.com/public/travelertoken-website/documents/TLT_Whitepaper_20180329.pdf
