cat1,cat2,name,raised,desc,ticker,start,end,www
singapore,,alphacon,,"Alphacon has the meaning of ' Health care Unicorn ' that opens the Alpha age. It is a platform to distribute healthcare data and provide personalized solutions with a banner of "Big Data Revolution in Healthcare" to solve problems where individuals are completely alienated from existing health care big data and platform industry. The name of cryptocurrency in circulation within the platform is ‘ALP’.",ALP,4th Jun 2019,25th Jun 2019,https://alphacon.io,Singapore,https://s3.ap-northeast-2.amazonaws.com/alphacon.io/whitepaper/alphaconWhitePaperEngVer12.pdf
singapore,,codemy,,"Beginning with the idea of a system that allows anyone young to old to study anywhere in the world beyond their family, social and cultural backgrounds, Codemy project was created as a result of efforts to capture solutions while doing many researches, having various experiences, and identifying social phenomena. It is the vision of Codemy that creates a platform for educational contents for which learners, teachers, and educational institutions collaborate all together. This includes functions such as curriculum management, relevant courses, and certification on course completion including all the education related contents as well as online software education mentioned before. environments and providing a new environment, it can achieve improvement in quantity and quality of education levels.",CDM,29th May 2019,5th Jun 2019,http://www.codemyedu.com/#,Singapore,https://codemyedu.com/pdf/CodemyEdu_White_paper_v2.0.pdf
singapore,,nebluro,,"Nebluro is an online and global decentralized exchange with artificial intelligence where you can buy, sell and trade your cryptocurrencies for other assets. Cloud Storage Wallet: A safe and secure wallet to store all your cryptocurrencies. Live trading support thanks to our bot with AI, which will guide you through our website or doing your transactions.",NBLR,18th Jan 2019,25th Jun 2019,https://nebluro.com,Singapore,https://docs.google.com/document/d/1Hmcit12vsSlT7D45GTAxJb-zCWDpcM95bAm00onNs5I/edit
singapore,,smathium,,"SMATHIUM is a blockchain-based loyalty platform aiming to solve the key challenges facing traditional loyalty programs. A decentralized Application (dApp) where all businesses can create their own loyalty reward programs powered by a single token. A single united loyalty point system in small on/off-line retails around the globe involving everyday life. Cafe, restaurants, grocery store, and even shopping mall. Smathium aims to bridge various brands by building a multi-business loyalty reward platform that is open to all types of businesses. As a unified medium of exchange between users and brands, Smathium token can be used for transactions across all businesses registered on our platform and can be traded in exchanges. Moreover, Smathium is creating an additional feature where brands can connect their existing loyalty programs to a blockchain network.",SMT,5th Jun 2019,12th Jun 2019,https://smathium.io/?lang=en&utm_source=ico.tokens-economy.com,Singapore,https://drive.google.com/file/d/14AOnnmRhb74E1OQ0ggofj2ZlOcgIq3SH/view
singapore,,songin,,"High-performance open commercial blockchain based in songin consensus and referendum. A open block chain platform which is available for upper business environment. A block chain systemcan which can continue to expand and evolve.",SOIN,1st May 2019,10th Jun 2019,https://www.songin.io,Singapore,https://www.songin.io/whitepaper/WP_English.pdf
singapore,,thx! (ieo at liquid by quoine),,"thx! is a decentralized application that can exchange “thank you” token with a mobile device. The received thx! token (THX) will be easily transferred from one person to the other. The usage examples can range from service-oriented settings such as restaurants, parking lots, hotels, to formal settings such as workplaces, conferences. Transaction history of thx! is not only recorded on the timelines of both giver and recipient, but also on the blockchain network.",thx! token / THX,1st Jun 2019,30th Jun 2019,https://thx3x.com,Singapore,https://thx3x.com/wp-content/uploads/2019/02/thx-app-whitepaper-v3.pdf
singapore,,treeblock,,"The seminal and revolutionary concept of Time Sharding will reinvent Blockchain network architecture, boosting scalability and speed not just exponentially, but to infinity. Alleviating processing bottlenecks and harnessing the limitless power of the global network, it will bring about a massive wave of change across every industry and aspect of life as we know it – in more ways than we can dare to imagine. Join the revolution.",TREX,7th Jul 2018,7th Jun 2019,https://treeblock.io,Singapore,https://treeblock.io/assets/docs/TreeBlock-Ver1.3.2-08-Sept-2018.pdf
singapore,,wowx,10.9,"WOWX is centralized crypto to crypto exchange operating on ERC20 platform that accepts Ethereum, and in the near future Bitcoin, as the base currency for trading other coins. The native currency is called WOWX token (WOWX). WOWX seeks to better customer participation and retention by engaging users on the platform through highly remunerative activities. In doing so we enable greater liquidity of digital assets within our system and higher trading volume. WOWX currently has several features such as our unique token distribution to help our users profit and plans to embrace even more convenient rewards for users for trivial yet desirable behaviour.",WOWX,31st Mar 2019,30th Jun 2019,http://wowx.io,Singapore,https://wowx.io/wowx-whitepaper.pdf
switzerland,,alprockz,1.315405,"ROCKZ is a new cryptocurrency that brings solidity and trust into the volatile cryptocurrency market for the first time. Unlike other cryptocurrencies ROCKZ is backed in value to one of the world’s strongest and most sustainable currencies, the Swiss Franc, in a 100% transparent and legally enforceable way",APZ,1st Feb 2019,30th Jun 2019,https://alprockz.io,Switzerland,https://s3.eu-central-1.amazonaws.com/rockz-docs/ROCKZ+WhitePaper+English+ver2.pdf
switzerland,,digipharm,1.521804,"Digipharm bypasses infrastructural limitations to enable the implementation of flexible value-based pricing agreements using smart contracts, the development of unprecedented evidence platforms and the ability to reward patients for contributing their data. We aim to utilize innovative blockchain technology to overcome barriers to patient access and innovative pricing, reduce costs for all stakeholders, and bypass infrastructural limitations to drive value improvement, incentivize innovation and expedite the transformation to personalized healthcare. Our solutions aim to accelerate the much needed restructuring of healthcare delivery systems to a value-based approach.",DPH,18th Jun 2019,25th Jun 2019,https://digipharm.io,Switzerland,https://digipharm.ch/docs/DigipharmWP.pdf
