cat1,cat2,name,raised,desc,ticker,start,end,www
UK,,barne coin,,"Barnecoin is an Ethereum-based token that will allow users to make and receive payments using our platform and Ethereum smart contract technology. Barnecoin brand was created in 2018 and at the moment it’s a top choice of many investors, merchants and clients in business relationship with Barnes Digital Limited. Barnecoin is superior to traditional payments. Due to its trustless and immutable nature. Unlike non-blockchain solutions, barnecoin is built on the decentralized Ethereum network. Blockchain implementations prevent any entity from changing user’s financial information, eliminating the need for a user to trust an unknown entity with their personal assets. To reach as large of an audience as possible and introduce the need for blockchain technology to the general public.",BRN token,1st May 2019,31st Jul 2019,https://barnecoin.com,UK,https://barnecoin.com/upload/pdf/3a1432650a9c54d535d0412746d4c9c3.pdf
UK,,bcb atm,,"Building on the success of our Crypto ATMs in the UK, BCB ATM are building an ecosystem offering token holders a variety of utilities such as discounts and rewards when using our own Ascend Blockchain, BCB Wallet and exchange services via BCB Arbitrage.",BCB,1st Dec 2018,31st Jul 2019,https://tge.bcb-atm.com,UK,https://tge.bcb-atm.com/whitepaper.pdf
UK,,canyudo,,"Canyudo is a free to use promotional and organizational tool allowing app users to create then advertise jobs, tasks, events, or items for sale to a network of other app users, adding media, data files, location tags, and with the option to make or take payment in cryptocurrency. The app is designed to be used by businesses and the general public, combining a free advertising platform with a low cost and ultra secure payments system. Fees are charged only where a smart contract is executed, with each transaction processed resulting in a donation to a user nominated registered charity.",CYD,1st May 2019,31st Jul 2019,https://canyu.do,UK,https://canyu.do/wp/
UK,,glyff,,"We are building a next-generation decentralized platform that enables secure value transfers and smart contract execution, in complete confidentiality and with strong correctness guarantees. Glyff, like Ethereum, allows development of decentralized applications, but with a key difference: the ability to conceal data from the computing nodes. This enables developers to include sensitive data in their smart-contracts, directly on-chain, without compromise on security.",GLY,20th Mar 2019,29th Jul 2019,https://glyff.io,UK,https://glyff.io/gw?glyff-ip
UK,,solarex,2.1,"Around one and a half billion people worldwide do not have access to electricity and over 3billion rely on primary biomass for cooking. This number excludes another billion that have no choice but to depend on fossil fuel electric generators for day to day electricity. Africa countries ranked in the top 10 of lowest access to electricity and over 90 percent of people in Africa Countries users biomass for cooking or Electricity generators that burn fossil fuel. Indoor air pollution from carbon monoxide in stoves is a leading cause of adults and children mortality in developing countries, and this value is ahead of malaria and tuberculosis combined. In Nigeria, foraging energy supply has lead over 60million Nigerians to own fossil fuel generators spending more than N3.5billion annually on the generators. Millions of others residents at remote location far from the reach of the grid. Lack of electricity is significant as it hampers economic growth and hurt investors confidence.",SRX,10th Apr 2019,31st Jul 2019,https://solarex.io,UK,https://www.solarex.io/assets/files/Solarex_Whitepaper_V1.pdf
UK,,the collective,0.2,"The Collective is a Guernsey based Fintech company. Within The Collective ecosystem exists several products. The heart of the ecosystem is a community management company dedicated exclusively to the incubation and management of Initial Token Offerings. Also featured is CDEX, a fully functioning global decentralized marketplace for Ethereumbasedtokens. Next is the TraderOne centralized exchange. TraderOne will be a robust trading platform for trading all different types of digital assets. We are also proud to bring you The CollectiveGO game. The CollectiveGO is an augmented reality experience powered by our native token, and monetized through various digital currency advertisers. Finally, we are proud to announce plans for The Collective Global Initiative. The Collective Global Initiative encompasses all of our core values while providing creative ways to unite the gig economy, establish general best practices for the entire industry, and protect our communities by providing trustworthy outlets for everyone in the crypto space to enjoy. We are offering the Community Development Exchange Token (CDEX) as part of our efforts to fund and develop the initiatives mentioned above, and our future endeavors.",CDEX,15th Feb 2019,15th Jul 2019,https://www.thecollectivegroup.org/ico/index.html,UK,https://www.thecollectivegroup.org/ico/WP_Collective.pdf
UK,,zeux,2.6712,"Zeux is a blockchain based financial ecosystem company, building the world's first crypto mobile payment app that uses the world’s first integrated crypto & fiat investment platform. By partnering with a long list of financial institutions in both the fiat and crypto worlds, we are merging these different financial services combining mobile payment, banking, and investment services into one application. To participate the token sale: https://latoken.com/ico/ETH-ZUC",ZUC,7th Jun 2019,5th Jul 2019,https://www.zeux.tech,UK,https://www.zeux.tech/assets/PDF/ZEUX-White-paper-Eng.pdf
USA,,carsmartt,,"CarSmartt is a U.S.based online marketplace for ridesharing that has been connecting drivers and users through a mobile application since early 2017. CarSmartt Inc. is a publicly traded entity under the ticket name CRSM on the Over-The-Counter (OTC) market. CarSmartt Inc. has developed an innovative, decentralized, carpooling application whose main purpose is to make short and long distance travel safe and affordable, while saving resources and connecting people along the way.",TURN,1st Sep 2018,15th Jul 2019,https://coin.carsmartt.com,USA,https://drive.google.com/open?id=1XmoTeJ1vRiFyr2ZYQBkH2SP0F-jS2ZGU
USA,,conjure,,"Conjure is an incentivized, decentralized content platform that rewards participants for contributing quality content with cryptocurrency. Conjure combines concepts from social media, search, and advertising with cryptocurrency to enable content creators to monetize their content. Conjure’s unique architecture, the Depth Engine, takes a fresh approach to content discovery, fostering a creative ecosystem built around individuals and interaction.",CJR,1st Jun 2019,1st Jul 2019,https://conjure.network,USA,https://conjure.network/assets/WhitePaper_Conjure_Dec2018_v05.pdf
USA,,cybr,2.0,"The CYBR Ecosystem is a holistic, cyber security solution for the blockchain which ensures secure smart transactions occur via a portal designed to provide real-time safeguards, countermeasures and threat intelligence to the CYBR community as well as other crypto entities and exchanges who rely on our cyber security solutions. CYBR ecosystem is powered by BlindSpot, a proprietary, powerful CYBR security engine which identifies and disrupts bad actor and associated illicit file activity that seeks to affect the confidentiality, integrity and availability of crypto smart contract transactions. CYBR commercializes and monetizes emerging threat intelligence by turning the data into actionable intelligence. CYBR users are rewarded with CYBR tokens for their direct threat intelligence contributions to the CYBR ecosystem.",CYBR,23rd Jun 2019,3rd Jul 2019,https://cybrtoken.io,USA,https://cybrtoken.io/wp-content/uploads/2018/09/cybr-whitepaper.pdf
USA,,pimoncoin,,"PIMONCOIN is a token, based on the Ethereum Blockchain for Payments and Investments. It also allows its owners to invest their funds by lending, in the foreign exchange market, transport sector, mineral resources, food products, real estates , to buy and sell at lightening speed. What makes PIMONCOIN different is that it has value tie to real life assets, Users would be also able to get funds as dividend from these investments.",PIMON,16th May 2019,31st Jul 2019,https://pimoncoin.com,USA,https://pimoncoin.com/admin_images/ZMM7VFD0JS.pdf
USA,,sessia,3.0,"SESSIA’s team has developed a unique iOS and Android software that eliminates the technological debt issue of many companies in less than 10 minutes. Using all the advantages of blockchain technology, Sessia presents a new way of communication between businesses and customers. We call it «social marketplace» - an ecosystem where brands can simply develop and apply effective promotional tools by sharing the purchases of their client with their Friends and followers. SESSIA’s team has developed a unique iOS and Android software that eliminates the technological debt issue of many companies in less than 10 minutes. It provides businesses with 6 Sessia products in one place: SessiaPay – provides any business with instant crypto merchant account. SessiaMarket – allows offline business to launch e-commerce with maximum ease and speed. SessiaCRM – a smart CRM system with integrated AI features. SessiaSMM – an innovative approach on how to advertise products and services to the friends and followers of their current clients. SessiaLoyalty – the first globally connected cryptocurrency cashback system in the world with instant payouts. SessiaLogistics – ability to easily integrate with all the logistic companies without API. Sessia is absolutely free for businesses, and a personal manager is provided to each company. We make money by charging a 20% commission fee on the cashbacks and kickbacks that business is providing to it's customers using Sessia app.",KICKS,17th Jul 2019,20th Jul 2019,https://sessia.com,USA,https://www.sessia.com/stasic/doc/wp_eng-2018.compressed.pdf
USA,,zoptax,,"What is Zoptax and what problem it solves? Zoptax is truly decetralized VOIP application which provide complete security for its user when they are connected to each other using Zoptax Network. Becuase of blockchain there is no possiblity of centralized authorities to intercept between a connection. First live version of zoptax app is also available on Google Play Store. https://play.google.com/store/apps/details?id=com.zoptax&hl=en Zoptax Coin will be used to make calls and the coins will be rewarded/paid to the node holders running Zoptax Bone (VOIP Algorithm) as a network fee.",ZPT,15th Jun 2019,30th Jul 2019,https://www.zoptax.com,USA,https://www.zoptax.com/whitepaper.pdf
