cat1,cat2,name,raised,desc,ticker,start,end,www,,
Entertainment,,gifto,30,"Gifto Protocol - The Universal Gifting Protocol is envisioned to be a self-governing and self-sustaining ecosystem for virtual gifts to be created, curated, tracked, bought, sent and exchanged across any content platform such as YouTube, Instagram, Facebook, and Uplive. Asia Innovations Group (AIG) is the company behind GIFTO and the main product is the Uplive App : the fastest growing live streaming app. AIG is a Series B company with solid investor and advisors. Currently on track for 100 M USD (Revenue 2017), currently has 20 mil users, 60k content creators.",GTO,14th Dec 2017,14th Dec 2017,https://gifto.io,Hong Kong,
Infrastructure,,metabase network,,"Metabase Network is a high performance blockchain and smart opcodes platform for building next-generation businesses. A multidimensional blockchain system focused on developer usability, extensibility, scale, and security. We’ve created a blockchain infrastructure designed to empower developers, entrepreneurs and industry, to easily create advanced distributed applications and scale them into the market-leading businesses of the future. In Metabase, we are taking a hybrid approach for consensus. We utilise both PoW and PoS – in such a way that a balance is achieved between the two and their respective pros and cons. The Metabase Consensus Protocol, called DPoE – will iterate over two stages starting off with PoW and then to a dual consensus mechanism of dPoS (delegated Proof Of Stake). dPoS is a variant of PoS in which token holders vote to elect delegates who in turn validate blocks of the blockchain",META,4th Sep 2018,31st Jan 2019,https://metabase.network,Hong Kong,
Big Data,,nam,,"The NAM project is a project to combine artificial intelligence (AI) and block chain technology to bring about innovation in the Japanese medical system. NAM will solve problems using AI and block chains. The attention degree of NAM coins is getting very high in the world. We were very pleased that the content of the investors' questions also got matured content that got the target. In addition to receiving interviews from Japan and South Korea's most business-focused media such as the Nikkei Newspaper and Chosun Ilbo, we have a strong partner named weibo japan in China, and spread in Asia together with NAM COIN to NAM Project It also became a flow that can go actively.",NAM token,20th May 2018,20th Aug 2018,https://namcoin.net,Hong Kong,
Platform,,betex,10.23348,"Powered by Ethereum smart contracts, Betex brings indisputable transparency, fair conduct, and audible results to the binary options trading. With Betex, traders will be placing bets against each other and never against platform providers or any other intermediaries. Built with Blockchain technology, unlike traditional platforms, Betex will provide access to real-time data, thereby, ensuring absolute transparency of its system. So there is no doubt that all users are treated equally and fairly. Users will be forming one large common pool of liquidity for each underlying asset in order to maximize users' gain. The platform's commission will be 5% only, the liquidity will be derived from a common pool of brokers, and brokers themselves will integrate into the platform via the white label mechanism. This is the only platform, where as much as 95% of funds are distributed among traders who make correct assumptions. 2.5% (half of the platform's commission 5%) of the total platform turnover will be distributed among the holders of BETEX tokens, accordingly to the number of tokens they own.",BETEX,1st Mar 2018,15th Apr 2018,https://betexlab.com,Hong Kong,
Retail,,ccecoin,,"Ccecoin aims to be entirely decentralized and transparent trading ecosystem utilizing peer to peer process. CCE is building a vast trading network, or ecosystem, based on blockchain technology with an initial launch planned throughout the region of South East Asia in 2019. The ecosystem is based on bringing trading parties together within a fully decentralized and transparent trading process utilizing peer to peer networks.",CCE,1st Nov 2018,30th Nov 2018,https://www.ccecoin.io,Hong Kong,
Big Data,,cosmochain,33.36,"COSMOCHAIN is a universal beauty platform that connects cosmetics product users and content creators to cosmetic products suppliers, including cosmetics companies, brands, manufacturers, and distributors. Through the COSMOCHAIN platform, the team aims to solve the unmet needs of both companies and customers: 1) difficulties to find real information over fake/manipulated one as sponsored, 2) difficulties to benefit/monetize from contributing to data collection or contents creation, 3) issues regarding insecurity of personal information shared online, 4) difficulties to measure marketing ROIs from the influences to the conversion in full process, 5) difficulties to get real target user data for better R&D and manufacturing, and 6) absence of real targeted, personal market places to reach potential fans of the products/brands.",COSM,21st Apr 2018,20th May 2018,https://cosmochain.io,Hong Kong,
Platform,,gatcoin,14.5,"GATCOIN transforms traditional discount coupons, loyalty points and shopping vouchers into liquid, tradable digital tokens. Tokens from multiple merchants can be stored in one convenient app which also allows for in app shopping and features the GAT Exchange where user can trade unwanted tokens!",GAT Token,17th Dec 2017,5th Jan 2018,https://www.gatcoin.io,Hong Kong,
Banking,,hashcard,,Hash Card converts your cryptocurrencies to traditional currency in real-time via an instant conversion to Fiat ensuring the best exchange rates. Payment and withdrawals can be made anywhere that VISA/MasterCard is accepted.,HSHC,1st May 2018,12th Jun 2018,https://www.hashcard.io,Hong Kong,
Platform,,storiqa,25,"Storiqa is a marketplace with a wide range of functions for effective sales in the world of a new digital economy. The use of blockchain technologies destroys the boundaries between sellers and buyers, allowing the creation of a unique open trading platform with infinite growth potential.",STQ,28th Nov 2017,29th Jan 2018,https://ico.storiqa.com,Hong Kong,
Cryptocurrency,,the uxm,0.622561,"The UXM is a global transactions optimizer. It completely re-invents the concept of marketplaces by removing inefficiencies that needlessly increase buyer prices and seller costs. The UXM is designed to provide a common platform enhanced by blockchain technology to not only streamline the process of transactions, but also make it applicable to any type of transaction from a loaf of bread to a fleet of aircraft to a view of a social media site content to a click on a webpage to an offline action to a wholesale trade deal between manufacturer and retailer. Virtually anything can be monetized via the UXM.",UXM,28th May 2018,15th Nov 2018,https://www.theuxm.com,Hong Kong,
