cat1,cat2,name,raised,desc,ticker,start,end,www,,,,,,,,,,
Casino & Gambling,,gimli,1.702589,"Gimli is a revolutionary way of experiencing live eSport streaming. Engage in bets, challenges and surveys with your streamers using digital tokens. Gimli is an eSports application made by eSport fans for eSports fans. Streamers benefit from Gimli's enhanced engagement for their streams and their audience. Gimli reaches millions of viewers all over the world.",GIM,16th Sep 2017,20th Oct 2017,https://gimli.io,,,,,,,,,,
Casino & Gambling,,kheper,,"The Kheper project is about developing online gaming platforms and land-based gaming equipment that work with the Kheper Token and integrate the two of them creating the “token for gambling”. We are a blockchain software company based in Malta and we are collaborating with established companies with more than 20 years of experience in the gambling industry. Together they are doing 100’s of millions of dollars in yearly revenue. A common issue with gambling in crypto is the high barrier of entry. Together with our partners, we are lowering the barrier of entry for regular players to play within the cryptocurrency world and introducing a new form of excitement in the gambling industry.",KHP,22nd Jul 2018,20th Sep 2018,https://kheper.bet,Malta,https://khp-79pgnkggv.netdna-ssl.com/wp-content/uploads/2018/07/Kheper-Project-White-Paper.pdf,,,,,,,,
Casino & Gambling,,unilot,,"Unilot is a decentralized gambling platform which allows players to play and host online games like poker tournaments, lottery and many other games. Unilot will be available through mobile apps on iOS and Android platforms and transact using Unilots as it’s main currency. Unilot is driven by an important social mission in its core: to build the world's most transparent, secure, and diverse betting platform. The project allows to lead gaming industry to totally new level giving elimination of deposit risk, gameplay fairness and transparency. At Unilot platform all users can host their own games and earn money honestly. Unilot is all about a more balanced and fair gambling network. Using Ethereum network and Ethereum smart contracts it eliminates costly server hosting fees and disputes arising from handling players' funds.",UNIT Token,20th Apr 2018,1st Jun 2018,https://unilot.io/en-us,Malta,https://unilot.io/en-us/white-paper.html,,,,,,,,
Charity,,poseidon foundation,2.421832,"Poseidon is a not-for-profit foundation that empowers people to save the planet with every purchase through its breakthrough platform. The platform provides a vital new tool for retailers to shift behaviours and integrate real climate action into every retail transaction at the point-of-sale. Using blockchain technology, Poseidon empowers all of us to address the carbon impact of our lifestyle choices to track and share the positive impact of our transactions on individual projects with our peers.",OCEAN,16th Jun 2018,29th Jul 2018,https://www.poseidon.eco,Malta,https://poseidon.eco/assets/documents/Poseidon-White-Paper.pdf,,,,,,,,
Communication,,bluegold,,"In the spirit of the Blockchain freedom and independence, BlueGold offers cruises dedicated to the crypto-universe. Sailing from one business capital to the other, these cruises will act as a mobile hub for the global development of the Blockchain. BlueGold wishes to be a springboard for the Blockchain community, key note speakers, media, ICO teams, and potential investors with a content-driven place to meet.",BG,1st Aug 2018,31st Dec 2018,https://bluegold.io,Malta,https://bluegold.io/pdf/en-bluegold-white-paper.pdf,,,,,,,,
Communication,,lifetask,3.953123,"LifeTask – the human potential source The decentralized competence matching platform based on blockchain and artificial intelligence. No more sending out CVs and application letters. Lifetask enables the total control of your data by using blockchain and smart contracts for secure data.",TASK,15th Jan 2019,11th Nov 2019,https://lifetask.io,Malta,https://lifetask.io/lifetask-wp.pdf
Communication,,ysign,0.68,"With our ySign app, we can send messages and make phone calls to others free, secure and anonymous! Creating and developing an app for communication without stored information was our goal. Instead of storing your chat communications or calls on a central server, ySign uses blockchain technology for decentralized file sharing to carry and distribute encrypted messages. The decentralized blockchain is our way to secure and guarantee users total privacy during the exchange of information. If there is no centralized copy of all data, there is also no possibility to misuse any information about users. Also, the application doesn't require any personal information from users - users are registered just with username and password.",YSN,19th Apr 2018,4th May 2018,https://www.ysign.io,,,,,,,,,,
Cryptocurrency,,bdxalliance,,"At BDXAlliance, we want to earn your trust by making your everyday life easier with crypto products you can use and benefit from in the real world. With our application already underway for a financial license, we’re going to offer you a safe and secure cryptocurrency ecosystem of blockchain-connected businesses.",BDX,28th Nov 2018,28th Feb 2019,https://www.bdxalliance.com,Malta,https://www.bdxalliance.com/wp-content/uploads/BDX_White_Paper.pdf,,,,,,,,
Cryptocurrency,,binax,6.4,"Binax is one of the most popular digital asset trading platforms around the world. The core team of Binax consists of well-known blockchain specialists from countries around the world such as India, Australia, UK, China, Korea. We believe the core principles of Bitcoin, the blockchain, the distributed ledger, and smart contracts can reshape the ways in which people trust each other. This transformation will eliminate barriers to transactions, increase the efficiency of transactions across society, and eventually have a significant impact on the global economy. Because of this, we have foregone handsome salaries elsewhere and devoted ourselves to the blockchain technology revolution. By doing this, we hope to achieve something that may change the world. At the very beginning of its existence, Binax gained millions of US dollars worth of angel investments from VenturesLab, co-founded by the globally. Binax improves every inconvenience from previous cryptocurrency trade markets, to serve You only. Binax gets the lowest transaction fee among every cryptocurrency Trader in the domestic market.",BIN,15th Mar 2019,29th Jun 2019,https://ico.binax.io,Malta,
Cryptocurrency,,bitcoincorner,,"Bitcoin Corner is a company that will fulfill the requirements of a BaFin-certified bank focusing on crypto by means of the ICO in the future. The focus lies on becoming the first holistic service provider and knowledge broker in the crypto segment. In this capacity, Bitcoin Corner facilitates investors’ entry and handling of cryptocurrencies – worldwide and to an unprecedented extent. In addition, local corner stores serve not only as a point of contact for interested parties and sales and training, but also to promote the acceptance of coins at surrounding offline retailers and shopkeepers.",COCO,15th Aug 2018,14th Aug 2019,https://bitcoincorner.eu,Malta,https://bitcoincorner.eu/wp-content/uploads/2018/08/BitcoinCorner-Whitepaper.pdf
