cat1,cat2,name,raised,desc,ticker,start,end,www
estonia,,wizebit,,"WizeBox was built by a global team of business leaders and technologists to be the first smart home hub and personal assistant on the blockchain. Founded in 2017 on the belief your data is yours and should work for you, we created WizeBox to encrypt its user’s information, ensuring that a third party isn’t able to exploit, mishandle, or leverage a person’s own data against him or her. Wizebox’s parent company and supporting blockchain solution, Wizebit, specializes in hardware, software, and AI and is powered by a robust developer community and ecosystem funded by WIZE Tokens.",WIZE,17th Aug 2018,27th Oct 2018,https://www.wizebit.com,Estonia,http://wizebit.com/WizeBit_Whitepaper1.1.pdf,,,,,,
france,,blockchain.io,1.5,Built on Paymium’s proven security and technological record. A high level of digital asset protection and safe record of transactions.Built on fair-exchange protocols enabling cryptocurrency atomic swaps to mitigate counter-part risk.Advisory and technology services to execute third-party ICOs. New listing and market making services to foster enhanced token liquidity.,BCIO,27th Sep 2018,25th Oct 2018,https://blockchain.io/token-sale&utm_campaign=icolisting,https://blockchain.io/wp-content/uploads/2018/05/BCIO_Manifesto.pdf
germany,,beankh,,"BeANKH is a blockchain based platform, utilizing the power of smart contract and artificial intelligence algorithms to create a person’s digital analogue by Identifying unique thinking patterns, emotional response templates in order to model future behavior of the analogue that will keep functioning after physical death of the person.",ANKH,15th Jun 2018,14th Oct 2018,http://ankhlabs.io,Germany,https://ankhlabs.io/assets/documents/BeANKH_Whitepaper.pdf
germany,,ojooo,7.5,"The Ojooo platform is a unique place the advertisers and the advertising addressees from all over the World meet, all interested in various goods or services. The common basis for all Ojooo services is an innovative form of advertisement - the Earn per View Online and Mobile Advertising (EPV) from Ojooo. Ojooo offers companies advertising space and user data through the Ojooo app, as well as the Ojooo portal, based on blockchain technology.",OJX,14th Sep 2018,25th Oct 2018,https://ico.ojooo.com,Germany,https://ico.ojooo.com/index.php?o=whitepaper
germany,,subaj global network,5,"SUBAJ solves the problem of traditional points as loyalty. Now customers get value based SUBAJ coins as loyalty points on every Incentive, Discount, Rewards, Offers, Coupons, Deals they collect through the SUBAJ GLOBAL NETWORK. Using cutting edge Technologies like Augmented Reality, Artificial Intelligence, GeoDrop Technology, Social Gamification, Merchants can drop their respective offers onto the real world and define it within a proximity zone, which are then collected augmentedly by customers moving within that zone. Each Time a Customer collects a Reward, he gets SBJ Coins for free. Merchants also get SBJ coins once their rewards are collected.A percentage of the SUBAJ Coin collected goes to SUBAJ Charity Foundation, where SUBAJ implements various projects for homeless and deprived children of the world. Clean Water I Vaccines I Digital Literacy I Internet SUBAJ Coin powers the whole Global Shopping Ecosystem and its values increases each time shopping is being done anywhere.",SBJ,2nd Aug 2018,31st Oct 2018,https://subaj.com,Germany,https://subaj.com/assets/pdf/Whitepaper_v_2.pdf
germany,,trustedcars flex,,"TrustedCars is an Award-Winning German Company that is changing Car Ownership forever by turning dealerships into innovative mobility providers while offering customers a commitment-free, all-inclusive and affordable way to have a car without ownership responsibilities.",FLEX,17th Sep 2018,31st Oct 2018,https://ico.trustedcars.com,Germany,https://ico.trustedcars.com/source/documents/TrustedCars_Flex_Whitepaper.pdf
malta,,gamblica,1.371565,"GLOBAL BLOCKCHAIN-BASED GAMBLING PLATFORM DEVELOPED BY PLAYERS FOR PLAYERS Unlike all similar projects, our project is led by a team of managers with extensive experience in the field of gambling, whose main goal is to provide a pleasant and convenient user experience. Gamblica addresses the global problem of gambling fraud by giving each player an opportunity to check and verify the casino’s algorithms. The main reasons to buy GMBC: - A limited number of tokens with no additional issue after Token Sale. - All payments within the platform are made with GMBC only, which will foster the token's growth. - The ever-growing market of online gambling.",GMBC,1st Mar 2018,1st Oct 2018,https://gamblica.com,Malta,https://gamblica.com/documents/WP_Gamblica_v.1.0.4_en.pdf,,,,,,,,
malta,,ronaldinho soccer coin,,"As Ronaldinho states out to make ''a world full of dreams, hope and smile", will be creating a key coin for Soccer World. In order to achieve this ideal, WSC will develop real and digital businesses targeting approximately 3.5 billion of soccer fans. We will develop a block chain technology, as for the foundation of business in collaboration with NEO. By creating RSC platform, we will develop our service on Ronaldinho digital stadium, Betting (RSC super league and e-sports)," and an agent system (Ronaldinho soccer academy and smile project). Ronaldinho and WSC will walk along to contribute to the world as much as possible through this project.""",RSC,16th Aug 2018,17th Oct 2018,https://www.soccercoin.eu,Malta,https://www.soccercoin.eu/whitepaper/,,
malta,,wono,,"WONO is a P2P platform for rentals and freelancing. Thanks to Ethereum blockchain and the Interplanetary FIle System (IPFS), the platform and community are decentralized, which allows users to interact without a middlemen. WONO combines functions of Airbnb, Turo, Upwork and TaskRabbit on blockchain. WONO solves 5 major problems of P2P economy: high commissions, taxation of vendors, non-transparency of ratings and reviews, currency exchange loss and risk of fraud and deal cancellation. WONO users can act in 4 different roles at the same time: vendor (rent smth out or perform jobs), customer (rent smth or post a job), guarantor (stake for successful deal termination) and arbitrator (determine affected party in disputes). WONO users can earn and spend tokens on one platform which lets them never withdraw tokens and legally avoid any kind of taxation or exchange loss.",WONO,3rd Sep 2018,1st Oct 2018,https://wono.io,Malta,https://wono.io/assets/wp.pdf,,,,,,,,
malta,,xaya,2.3,"In 2013 the XAYA team introduced the world to true blockchain gaming with the Huntercoin experiment. Since then, they have pushed blockchain technologies ahead with several unique innovations. Through several years of R&D, the team proudly presents this new platform where games can run serverless and unstoppable on the blockchain with countless thousands of games and millions of players. TRUE BLOCKCHAIN GAMING - Real asset ownership, new game genres, completely decentralised virtual worlds, no Central Servers. COMPLETE TOOLSET - SDK/API, documentation, examples and support. No need for complex smart contracts. Use any language you wish. MASSIVE GAME WORLDS - Cutting edge technology that allows for limitless scalability, real-time trustless gameplay and game worlds that support millions of players.",CHI,7th Sep 2018,12th Oct 2018,https://xaya.io,Malta,https://xaya.io/downloads/XAYA_White_Paper.pdf,,,,,,,,
