cat1,cat2,name,raised,desc,ticker,start,end,www
singapore,,bitbattle.io,,"BitBattle is a P2P trading contest platform that allows users to set-up their own trading battles easily, compete with each other and win valuable rewards. SPIN is BitBattle internal token that is used to make prediction of BTCUSD in the battle rooms. Traders use SPIN to choose UP/DOWN/SIDEWAYS if they predicts BTCUSD price will go up/down/sideway in the next minute. The more correct predictions they get, the higher chance and higher prize they can win. The reward could be ETH, XRP, XLM, and many other top Altcoins which can be exchanged easily on Nami Exchange and other platforms; or be withdrawn to personal wallets. BitBattle's ecosystem: 1/ Bitbattle.io: P2P trading contest platform 2/ Nami Exchange: digital assets exchange platform where users can liquidate SPIN with other tokens, coins like BTC, ETH, DAI, DOGE, and so on. 3/ Nami Launchpad: launching to leading platform for real projects BitBattle.io is newly - developed product from Nami - a fintech company working on blockchain since 2017. After having launching the decentralized financial broker nami.trade in 2018, Nami continues to research and introduce a new trading battle platform for traders to maximize their profits. BitBattle already has more than 2,000 active users and daily SPIN usage in battles is more than 7,500 SPIN/day.",SPIN token,2nd May 2019,31st May 2019,https://bitbattle.io,Singapore,https://bitbattle.io/files/whitepaper_1804.pdf
singapore,,bloocys,,"BlooCYS will be an expert place platform that facilitates hiring professionals for consultancy services using real-time video and blockchain technology. Using blockchain technology, BlooCYS will unite consumers and experts into a decentralised, open and fair network that anybody can use without going through any intermediaries. Customers will be able to find genuine, reliable experts at their fingertips, while experts and professionals can enjoy greater work autonomy and earn additional income. We will also use blockchain innovation to verify user ID and validate any skills or experience claims provided by experts and professionals. This is to prevent fraud and ensure an excellent consumer experience, which will ultimately build trust and credibility in the platform. The smart contracts technology and BlooCYS platform token (CYS Tokens) that underlies the platform will provide an automated and transparent system for investment and profit distribution.",CYS,1st May 2019,31st May 2019,https://www.bloocys.com,Singapore,https://www.bloocys.com/wp-content/uploads/2018/09/bloocys_whitepaper.pdf
singapore,,coinchase,0.25028,"Coinchase is based on cryptocurrency: it aims to build a community-based financial network composed of individuals. Individuals are both creators and beneficiaries of the network. Coinchase acts as the organizer and service developer of its network. Coinchase's financial services include Investing, Savings, Loan, Exchange, OTC, News, Community. Coinchase Features: Secure and Trusted, Great Rates, Great Benefits, Complete Risk Control, 0 Fees. Coinchase Token (CCH) Represents Proof-of-Usage (PoU) and Proof-of-Stake (PoS) of the Coinchase Network. CCH can be used to: Become a member; Investments; Lending; As transaction fee; Community payment. Proof-of-Usage. Competitive Advantages of Coinchase: Break and Return‘Insurance: If the average price of project's token falls below Public Sale price on the first 48 hours of the first exchange listing, users can choose to be refunded by Coinchase. C2C Trading: Before the tokens are listed on the exchange, users can trade them freely through Coinchase’s C2C.",CCH,26th Nov 2018,26th May 2019,https://coinchase.com,Singapore,https://coinchase.com/static/cch_files/whitepaper/cch_whitepaper_en_v1.0c.pdf?utm_source=coinchase.com
singapore,,ecomi,10.458555,"ECOMI’s mission is to create the world’s best platform to purchase, protect and collect premium licensed digital collectibles using Distributed Ledger Technology. The ECOMI ecosystem is comprised of 3 key elements: - Secure Wallet (completed) At the size and thickness of a credit card, this true cold storage wallet is never wired to an online device and can store more than 700 cryptocurrencies, as well as non-fungible tokens (digital collectibles). -ECOMI Collect (see https://www.ecomicollect.com/)- The MVP of the ECOMI ecosystem, a platform/smartphone app to bring licensed and recognisable digital collectibles to the mainstream. -ECOMI Collect Digital Wallet Built using the impressive Secure Wallet technology, the ECOMI Collect digital wallet is designed to store only NFT's (digital collectibles) and the OMI token- the native token of the ECOMI ecosystem. It is designed as a retail product, and is expected to be rolled out to tech/gaming stores in late 2019.",OMI,12th May 2019,13th May 2019,https://www.ecomi.com,Singapore,https://drive.google.com/file/d/1c8LZjH9MwkM48p9kBbw10t4S0fno_z3u/view
singapore,,fleta,0.08183,"With the objectives to provide a developer-friendly ecosystem, FLETA has dealt with the existing problems of blockchains such as scalability, speed or decentralization utilizing our own technologies -- multi-chain structure, block redesign, parallel sharding, and our brand new consensus algorithm, Proof-of-Formulation (PoF).",FLETA,3rd May 2019,5th May 2019,https://fleta.io,Singapore,https://fleta.io/download/190426_Buisness_Whitepaper_EN_web.pdf
singapore,,gowithmi technology pte. ltd [gowithmi],,28.743947,"GoWithMi is building the world’s first complete decentralized location-based services (DLBS) infrastructure. It aims to provide a complete trusted geospatial value exchange service for large-scale commerce from data, computing, personal terminal to commercial ecological, and making value flows multidimensional, safer and smarter, complement the last key component of the blockchain to empower the real economy application. GoWithMi's geospatial consensus ecological network consists of geospatial consensus data production, spatial computing power network, self-organizing geospatial asset node, and business application sharing support platform. Integrated DLBS, super oracle, and consensus map platform, based on the algorithm consensus to motivate participation and achieve benefit for everyone, cross-chain supports all blockchain platforms, one-stop support for all applications that retrieval location-based services, enables offline business to leap into the new era of programmable business, and enters an in chain and out chain Turing's complete self-circulation business ecology.",GMAT,18th May 2019,18th May 2019,https://www.gowithmi.com,Singapore,https://www.gowithmi.com/whitepaper/
singapore,,laari travel,0.498,"LaariTravel is a fintech company based in Singapore with a focus on decentralized tourism. The worldwide tourism market is dominated by big online travel companies, who charge a lot of commission, which means an increased price for travellers. The goal of LaariTravel is to make travelling much cheaper by charging absolutely no commission and also allowing maximum customization of travelling. Using their own ERC20 token, LaariCoin, it is getting easy to pay for bookings worldwide. There is a mobile platform being released which makes it simple to buy, sell and store LaariCoin securely. In the first quarter of 2019, LaaruCoin proposes to be listed on 3 exchanges and the mobile platform will be available for iOS and Android devices. LaariTravel is currently carrying out an IEO at SistemKoin with a 40% bonus. The LAAR coin sale will accept BTC, ETH, USD & TRY. Users need to register to Sistemkoin before participating in premium coin sale. Users, who would like to attend to LaariTravel IEO, need to register an account on SistemKoin Exchange. KYC will not be required to participate in the IEO.",LAAR,1st Apr 2019,31st May 2019,https://laaritravel.com,Singapore,https://laaritravel.com/home/public_html/wp-content/uploads/2019/04/PitchDeck-v3.3.pdf
singapore,,petchains,,"Petchains is dedicated to a global panpet market information management system and the trading platform. The solution is developed on the modern and global technologies like big data and blockchain which allows the users to maintain a unique and to keep the data of both the animals who lives in the home or in the shelters. The main aim of this project is to bring up the community which is made up of the experts, professionals, institutions, academics, owners, service providers, dealers volunteers and other participants of the animal community, they can interact globally and contribute to providing the efficient lives to the pets.",PTCS,26th Jan 2019,25th May 2019,https://www.ptcs.io,Singapore,https://www.ptcs.io/assets/Petchains.pdf
singapore,,trade nexi,,"Trade Nexi is a total eCommerce project focused on creating commercially viable on-chain – off-chain linked solutions. Our mission is to bring on-chain and off-chain solutions together in creating more profitable and secured markets. It is a network of the Trade Nexi Market, Trade Nexi Exchange and Trade Nexi Community, with key Dapps being our Xcrow Pay and Honeycomb Xwap smart contracts. Our Users would be able to trade commodities while being able to immediately swap their tokens to hold their revenues in their most preferred cryptocurrencies.",NEXI,22nd Feb 2019,5th May 2019,https://tradenexi.com,Singapore,https://tradenexi.com/wp-content/uploads/2019/01/WHITEPAPER-TRADE-NEXI_.pdf
singapore,,velic,,"Our goal is to provide access to the crypto-finance arena for prudent investors, including institutions. The VELIC suite of crypto-financial services will include Asset Management, Loans and Vault Services. The platform will be tied together by the VELIC crypto exchange.",VELT,4th Mar 2019,1st May 2019,https://velic.io,Singapore,https://velic.io/web/download/VELIC_Whitepaper_V1.02.pdf
switzerland,,lexray,,"LexRay is the world's only decision-enabling mobile platform that empowers organizations to their run operations from anywhere. For the last decade, LexRay has been the leading innovator in sophisticated solutions for both government and private sector entities. LexRay’s patented technologies allow integration of high-end solutions in the fields of biometrics, facial recognition, drone connectors, artificial intelligence, computer aided dispatch, digital identity management, security systems, and other high-tech applications. Our customers include major law enforcement agencies, county jails, NFL, MLB, entertainment venues, transportation agencies, ports/maritime, educational institutions, hotels and casinos. LexRay’s unique and unmatched mobile technology is intended to enhance operational efficiencies and integrate systems on mobile devices to access real-time information from anywhere in the world.",LEXR,25th Apr 2019,31st May 2019,http://lexray.io,Switzerland,https://drive.google.com/file/d/1bNK69cWZ-_CUSazGGvibmyfcFuklPQBh/view?usp=sharing
switzerland,,opencryptotrust,,"Blockchain for Modern Telecommunications has gone beyond the obvious initial applications of blockchain - decentralized immutable storage, identity management, peer-to-peer payments. We have modified the blockchain protocol itself to support ultra-secure data transport – and superior management overlay. OpenCryptoTrust has developed both the underlying platform (a hybrid blockchain called OpenCT) and two “Killer Applications” that solve immediate problems and offer significant cost savings for Telco Carrier customers.",OCTb,1st Apr 2019,31st May 2019,https://www.openct.io,Switzerland,https://openct.io/white-paper
UK,,aivia,1.0,"Choose the best Traders and Trading Bots and link them in one click. Your deposit stays in your crypto exchange account. You retain complete control over your assets. The Trader will manage your account via API key. Our mission is to provide the opportunity for investors to profit in a fast, convenient, secure, transparent and reliable manner from crypto asset management by employing the best Traders and cutting edge technology for the newest and best strategies and risk management.",AIV,20th Apr 2019,10th May 2019,https://aivia.io,UK,
UK,,alendoo,,"Alendoo’s main mission is to keep their customers anonymity, to do so they’ve had to ‘think outside the box’ to fulfil its existing promises to customers and find a way to extend their offering by adding loans paid out in FIATs. An innovative solution has been selected for this issue. Alendoo decided to design an NFC mobile application that will be loaded with cryptocurrencies and without the need to register a debit or credit card. The design of an NFC application and creating the right infrastructure for the entire process will require large funding. Alendoo cannot handle this project independently, which is why this investment opportunity is now available. The company has made plans to launch an Initial Coin Offering for their token - the Alendoo coin (XAL). XAL will serve essential complex purposes due to its properties as utility coin.",XALT,1st Apr 2019,12th May 2019,https://alendoo.io,UK,https://alendoo.io/assets/Alendoo-Whitepaper.pdf
UK,,cogenero,,"Cogenero is Mobile Cogeneration mining platform that uses (COG) utility token for which owners will be able to buy hashing power to mine cryptocurrencies. We will be able to mine cryptocurrencies at approximately half the cost as we are tapping on new and alternative energy sources (e.g. Flare gases) for which we are researching and developing the technology.",COG,1st May 2019,31st May 2019,https://cogenero.com,UK,https://cogenero.com/cogenero_wpv12.pdf
